school_number,school_name,high_school,middle_school,elementary_school
8224,Conneaut Area Senior High,0,0,1
8225,Conneaut Lake MS,0,1,0
6132,Conneaut Lake-Sadsbury El Sch,0,0,1
6133,Conneaut Valley El Sch,0,0,1
8226,Conneaut Valley MS,0,1,0
6643,Connellsville Area Career & Technical Ce,0,0,1
2097,Bullskin El Sch,0,0,1
2105,Connellsville Area MS,0,1,0
5228,Connellsville Area SHS,1,0,0
5048,Dunbar Twp El Sch,0,0,1
2172,Springfield El Sch,0,0,1
4939,West Crawford El Sch,0,0,1
7284,Conrad Weiser East El Sch,0,0,1
777,Conrad Weiser HS,1,0,0
7651,Conrad Weiser MS,0,1,0
5203,Conrad Weiser West El Sch,0,0,1
6944,Cornell El Sch,0,0,1
8087,Cornell HS,1,0,0
4800,Cedar Crest HS,1,0,0
6301,Cedar Crest MS,0,1,0
6302,Cornwall El Sch,0,0,1
2728,Ebenezer El Sch,0,0,1
2729,South Lebanon El Sch,0,0,1
7300,Union Canal El Sch,0,0,1
1998,Corry Area HS,1,0,0
1997,Corry Area Intrmd Sch,0,0,1
7793,Corry Area MS,0,1,0
8311,Corry Area Primary Sch,0,0,1
3868,Coudersport Area El Sch,0,0,1
3869,Coudersport Area JSHS,1,0,0
1088,Churchville El Sch,0,0,1
5096,Council Rock HS North,1,0,0
7749,Council Rock HS South,1,0,0
1086,Goodnoe El Sch,0,0,1
7208,Hillcrest El Sch,0,0,1
4680,Holland El Sch,0,0,1
8447,Holland MS,0,1,0
7657,Maureen M Welch El Sch,0,0,1
7432,Newtown El Sch,0,0,1
6453,Newtown MS,0,1,0
1087,Richboro El Sch,0,0,1
5308,Rolling Hills El Sch,0,0,1
1130,Sol Feinstone El Sch,0,0,1
8469,Wrightstown El Sch,0,0,1
4098,Cranberry Area JSHS,1,0,0
6595,Cranberry El Sch,0,0,1
5037,Cochranton El Sch,0,0,1
1632,Cochranton JSHS,1,0,0
1651,First District El Sch,0,0,1
1654,Meadville Area SHS,1,0,0
1653,Meadville MS,0,1,0
1650,Neason Hill El Sch,0,0,1
1645,Second District El Sch,0,0,1
7194,West End El Sch,0,0,1
5179,Crawford County CTC,0,0,1
8446,Crestwood Secondary Campus,0,0,1
2858,Fairview El Sch,0,0,1
