school_number,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
5278,35.6,44.2,26.7,2019
5278,43.9,,,2021
5278,12.9,52.7,5,2022
5278,40.7,56.1,41,2018
5278,46.1,54.8,32.4,2017
5278,52.1,64.9,34.9,2016
5277,,,,2018
5277,,,,2016
5277,,68.7,,2019
5277,,,,2021
5277,,42.9,41.8,2022
5276,,59.6,,2019
5276,,25.8,22.5,2021
5276,,68.3,,2022
5276,,,,2018
5276,12.5,12.5,6.3,2016
5275,7.7,16,0,2018
5275,23.1,16.7,6.7,2016
5275,0,,7.7,2019
5275,,,31.5,2021
5274,,,,2019
5274,,,,2021
5274,,,,2022
5274,,,,2018
5274,,,,2016
5273,8.3,38.5,9.1,2018
5273,,,16.7,2016
5273,,,,2019
5273,,,,2021
5273,,,,2022
5271,26.6,,,2021
5271,19.5,59.9,18.8,2022
5271,50.4,65.2,35.7,2019
5271,45,78.2,43.9,2017
5271,41.5,72.7,46.9,2016
5271,38.3,67.9,49.2,2018
5264,30,74.7,53.2,2018
5264,58.6,,45.5,2021
5264,47,64.9,29.2,2022
5264,62.4,73.3,48.5,2017
5264,55,77.3,54,2016
5264,34.2,55.9,50.5,2019
5261,7.5,74.9,38.3,2016
5261,50.7,72.5,42.9,2018
5261,35.4,52.9,38.3,2019
5261,53.1,76.8,41.2,2017
5261,52.5,,,2021
5261,36.5,39.7,23.1,2022
5258,60.5,,,2018
5248,51.9,33.3,25.6,2018
5248,24.4,27.3,11.9,2017
5248,36.4,,32.4,2021
5248,19.2,64.5,57.1,2022
5248,71,77.4,18.4,2016
5248,50,69,23.7,2019
5245,56.9,55.4,48.2,2018
5245,56.8,60.5,36.3,2017
5245,47.4,,,2021
5245,15.8,,18.2,2022
5245,58.8,77,45.1,2016
5245,44.9,63.3,36.1,2019
5242,32.7,43.6,28.4,2017
5242,20.8,33.5,25.6,2018
5242,39.4,,48.4,2021
5242,20.5,56.4,9.8,2022
5242,62.2,67.3,39.4,2016
5242,47,62.1,35.5,2019
5228,49,29.4,58,2019
5228,47.1,,,2021
5228,23.2,50,29.7,2022
5228,59.1,72.2,67.4,2018
5228,67.4,77.2,62,2017
5228,69.2,78.3,62.4,2016
5221,53,62.2,33.1,2019
5221,45,,38.9,2021
5221,32.5,61.2,20.7,2022
5221,53.6,66,38.6,2018
5221,53.3,66.3,34,2017
5221,52.5,67.9,50.6,2016
5219,64.1,81.3,46.9,2018
5219,43.1,68.6,47.1,2017
5219,56.1,86,56.1,2016
5219,53.8,64.3,40.4,2019
5219,43.1,57,24.3,2021
5219,,45.4,30,2022
5212,62.1,85.3,56.9,2018
5212,57.4,80.2,49.6,2017
5212,72.2,85.2,58.3,2016
5212,47.2,75.5,55.7,2019
5212,44.1,,,2021
5212,28.6,69.1,,2022
5208,40.9,55.1,43.3,2018
5208,50.9,69.2,40.7,2017
5208,56.4,72.5,50,2016
5208,54.5,56.8,45.5,2019
5208,55.7,,,2021
5208,21.4,44.9,27.1,2022
5207,47.9,73.5,55.9,2019
5207,37.9,,15.4,2021
5207,33.7,63.3,23.3,2022
5207,53.2,78.8,47.9,2018
5207,53.1,70.1,44.6,2017
5207,52,73.8,48.2,2016
5199,46.5,66.7,35.7,2018
5199,38.3,67,39.4,2017
5199,45,80.2,41.4,2016
5199,33,67.2,38.1,2019
5199,32.5,,42,2021
5199,29.5,59.5,21.3,2022
5190,39.8,60.7,27.9,2018
5190,53.1,75.2,41.9,2017
5190,40.9,61.3,39,2016
5190,39.8,48.5,34.2,2019
5190,43.7,,13.7,2021
5190,29.8,56.6,32.6,2022
5180,26,60.2,20.8,2019
5180,41.4,,16.7,2021
5180,13.5,51.8,,2022
5180,27.4,50.7,21.3,2018
5180,32.9,59.7,29.5,2017
5180,52.8,62,42.6,2016
5179,,62.3,,2019
5179,,,40.6,2021
5179,,50,50,2022
5178,38.1,65,31.8,2019
5178,35.7,,25.8,2021
5178,14.9,50.4,40,2022
5178,46,42,34.1,2018
5178,42.1,52.6,26.3,2017
5178,51,64.3,44.1,2016
5175,,,,2019
5175,,41.2,9.7,2021
5175,,60.3,37.6,2022
5175,,,,2018
5175,,,,2016
5169,46.2,64.1,50.3,2018
5169,56.6,64.2,44.8,2017
5169,61.4,66.2,46.9,2016
5169,50.6,64.6,45.3,2019
5169,30.4,,37,2021
5169,16.3,67.3,43.5,2022
5168,44.3,61.9,52.2,2018
5168,39.9,,,2021
5168,24.1,55.1,,2022
5168,17.8,58.6,39.4,2017
5168,21.5,62.2,48.3,2016
5168,53.4,70.2,46,2019
5162,55.7,,,2016
5162,56.8,64.3,,2019
5162,45.5,,50,2018
5156,,,77.8,2021
5156,,66.3,44.5,2022
5156,21.4,53.8,28.6,2018
5156,50.7,67.7,,2019
5156,51,69.1,,2016
5155,37.1,48.3,35.8,2018
5155,30.9,54.6,33.5,2017
5155,27.1,,28,2021
5155,24.1,38.9,3.9,2022
5155,,60.7,23.8,2019
5155,,,31.9,2016
5153,51,69.4,33.8,2019
5153,40.2,,36.1,2021
5153,32.8,57.7,20,2022
5153,46,55.2,35.8,2018
5153,46,44.3,35.4,2017
5153,50.6,63.9,34.8,2016
5151,28.9,,,2018
5151,41.2,59.6,11.1,2016
5151,16.2,53.6,0,2019
5136,56.5,73.9,50,2019
5136,64.3,,56.6,2021
5136,50,,14.6,2022
5136,49.4,74.7,54.4,2018
5136,59.7,80.6,55.2,2017
5136,61.4,84.2,57.1,2016
5135,56.3,54.2,47.9,2019
5135,40.5,,,2021
5135,34.6,61.8,,2022
5135,45,58.5,48.8,2018
5135,51.1,63,45.7,2017
5135,48.6,70.3,48.6,2016
5133,27.8,71.8,31,2018
5133,31.3,68,24,2017
5133,38.2,69.2,30.9,2016
5133,23.2,60.8,22.8,2019
5133,28.4,,,2021
5133,19.9,53.8,36.8,2022
5119,,,,2018
5119,,80.6,,2019
5119,,3.4,40.4,2021
5118,41.8,63.1,40.2,2018
5118,50,65.9,37.3,2019
5118,31.4,22.2,43.3,2021
5118,32.1,66.1,44,2022
5118,47.1,70.7,43.1,2017
5118,49.3,72.6,44.7,2016
5116,41.7,59.6,36.9,2018
5116,37.3,59.1,32.7,2017
5116,43.7,61.5,35.2,2016
5116,39.7,51.9,38.1,2019
5116,38,,,2021
5116,23.6,54.2,47.2,2022
5112,62.4,68,45.3,2018
5112,50.7,74.8,51.4,2017
5112,65.2,77.6,44.7,2016
5112,57.2,65.2,39.3,2019
5112,40.6,,23.6,2021
5112,5.6,64.6,,2022
5109,29.6,,,2019
5109,41.4,,,2018
5109,,,,2021
5109,,,,2016
5103,48.6,74.5,40.2,2017
5103,56.6,,36.2,2021
5103,40,50.3,32.6,2022
5103,59.1,76.7,52.4,2016
5103,47.7,59.9,46.8,2019
5103,67.3,64,43.2,2018
5098,52.1,60.8,38,2019
5098,43.3,,16.7,2021
5098,35.8,,42.9,2022
5098,55.3,59.3,39.8,2018
5098,56.7,67.5,36.5,2017
5098,63,65.8,38.3,2016
5096,39.8,64.6,44.9,2018
5096,45.9,68.4,36.8,2017
5096,49.3,72.8,36.7,2016
5096,38,55.3,31.9,2019
5096,28,,41.8,2021
5096,24.5,45,36.8,2022
5094,,,25.3,2021
5094,,,,2018
5094,,,,2016
5091,54.8,67.7,32.2,2016
5091,45.1,85.1,46,2018
5091,46.4,70,32.4,2017
5091,40.1,65.8,39.5,2019
5091,40.8,,23,2021
5091,25.5,31.6,23.5,2022
5083,32.9,79.8,44.7,2018
5083,50.9,84.3,42.1,2017
5083,32.8,,38.3,2021
5083,30.5,57.1,,2022
5083,,76.8,38.4,2016
5083,39.3,61,35.3,2019
5081,,74.5,41.8,2018
5081,33,71.9,40.2,2017
5081,43.5,,36.4,2021
5081,18.1,33.5,46.3,2022
5081,50.4,75.8,33.3,2016
5081,37.6,65.8,32.6,2019
5078,47.9,64.6,32,2018
5078,44.7,73.8,32.3,2017
5078,34.7,,30.2,2021
5078,29.7,54.3,27,2022
5078,31.7,71.3,38.8,2019
5078,39,79.5,39.5,2016
5070,66.2,71.2,37.5,2018
5070,42.3,69.7,36.8,2017
5070,26.7,,,2021
5070,27.7,45.5,,2022
5070,40.6,75,31.1,2016
5070,43.2,68.8,29.9,2019
5059,,28.4,27,2018
5059,19.7,30.6,12.6,2017
5059,,,,2021
5059,3.3,50.9,5.3,2022
5059,55.6,56.3,33.3,2016
5059,34.5,69.9,16.5,2019
5058,19.1,68.3,40.5,2018
5058,51.7,65.5,31.8,2017
5058,40.5,,24.2,2021
5058,25.2,39.1,,2022
5058,50,81,32.6,2016
5058,45.8,57.6,35.3,2019
5045,,,,2018
5045,,78.4,,2019
5023,61.3,76.4,52.4,2018
5023,52.6,73.7,41.1,2017
5023,52.2,74.2,45.6,2016
5023,50,67.8,34.8,2019
5023,29.3,,36.7,2021
5023,10.6,64.4,42.1,2022
5017,43.2,67.8,38.7,2018
5017,55.3,77.4,45.5,2017
5017,64.3,75.4,44.7,2016
5017,48.5,70.8,38.7,2019
5017,45.9,,,2021
5017,29.9,57.1,35.7,2022
5016,27.3,,27.3,2019
5016,7.7,76.9,41,2021
5016,,,,2022
5016,18.8,33.3,7.7,2018
5016,21.1,41.7,16.7,2016
5012,32.4,54,27.2,2018
5012,30.1,57.1,30.2,2017
5012,41.9,60.2,31.1,2016
5012,31.5,41.2,25.1,2019
5012,19.8,24.1,31.5,2021
5012,35.3,65,8.3,2022
4967,36.7,73.9,30.8,2016
4967,,36.4,,2018
4967,,,16.1,2021
4967,,100,,2022
4967,50.5,64.4,25.6,2019
4960,40.8,76.5,38.3,2017
4960,39.3,15.4,,2021
4960,39.6,,14,2022
4960,42,69.3,36.7,2016
4960,35.9,67.3,41.6,2019
4960,,73.1,41.1,2018
4959,40.6,,,2018
4959,,,,2021
4959,49,75.8,,2016
4958,57.1,58.8,33.3,2016
4958,,,,2019
4958,33.4,53.3,46.7,2018
4958,,59.7,41.3,2021
4957,29.8,57,27.2,2018
4957,38.6,55.6,28,2017
4957,37.2,60.4,40.6,2021
4957,39.6,59,,2022
4957,32.2,66.2,28.9,2019
4957,61.1,77.7,33.7,2016
4951,63.8,74.3,42.5,2018
4951,56.5,79.4,36.7,2017
4951,64.2,77.5,42.3,2016
4951,52.1,65.8,37.7,2019
4951,44.9,23.5,45.1,2021
4951,47,61.5,36.8,2022
4940,23,,,2021
4940,10.5,58,24.4,2022
4940,35.5,53.7,32,2018
4940,25.2,43.7,30.6,2017
4940,71.4,77,23.4,2016
4940,68.4,61.6,36,2019
4931,,68.2,47.3,2019
4931,56.6,71.7,32.1,2018
4931,43.6,,33.3,2021
4931,47.6,62.2,33.9,2022
4931,62.6,69.7,45.8,2017
4931,60,73.5,46.8,2016
4930,50,73,49.2,2016
4930,,61.4,27,2019
4930,5.9,74.3,48.5,2018
4930,52.5,79.5,37.8,2017
4930,28.8,,,2021
4930,38.3,65,27.1,2022
4870,57.5,58.6,34.3,2019
4870,34.7,45.7,46.7,2021
4870,33.3,43.3,29.4,2022
4870,58.8,73.8,46.3,2018
4870,62.5,78.8,53.8,2017
4870,65.9,86.8,63.7,2016
4845,52.5,71.4,38.3,2018
4845,31.4,,,2021
4845,35.4,43.4,11.6,2022
4845,36.8,72.7,30.9,2017
4845,55.8,73.5,31.8,2016
4845,38.5,,44,2019
4842,,65.4,,2019
4842,,,,2021
4842,,50.9,,2022
4842,18.2,,,2018
4842,20,15.4,15.4,2016
4828,,62.8,35.3,2018
4828,44.3,77.6,39.6,2017
4828,26,,30.8,2021
4828,10.7,44.4,31,2022
4828,45.5,67.7,32.7,2019
4828,57.9,74.4,45.7,2016
4822,42.2,64.4,,2019
4822,43.6,,,2018
4822,,,20.3,2021
4822,33.3,40,,2016
4818,36.2,48.9,39.6,2018
4818,31.7,40.8,23.7,2017
4818,30.2,60,30.7,2016
4818,24.4,42.9,29.5,2019
4818,34.6,,,2021
4818,44,12.9,,2022
4817,54.3,59.3,38.7,2018
4817,67.4,75.3,46.1,2017
4817,56,72,54.9,2016
4817,59.8,67.6,55.4,2019
4817,51.1,0,,2021
4817,21.2,57.4,1.2,2022
4810,51.7,71.3,39.4,2018
4810,52.4,64.4,38.7,2017
4810,54.3,75.1,47.3,2016
4810,46.7,69.8,48.2,2019
4810,41.5,,,2021
4810,32,66.1,14.3,2022
4807,41.7,50.9,35.6,2019
4807,49,,34.5,2021
4807,19.6,60.9,0,2022
4807,43.5,47.8,44.9,2018
4807,51.9,62.6,52.7,2017
4807,55,64.3,57.1,2016
4801,37,54.3,29.3,2018
4801,45.5,68.5,34,2017
4801,42.5,60.1,32.1,2016
4801,33.9,52.4,35.4,2019
4801,34.7,,11.6,2021
4801,25.1,72.9,3.5,2022
4800,50.4,76,38.6,2018
4800,56.2,71.9,36.2,2017
4800,40.5,36.4,27.3,2021
4800,16.6,59.2,17.2,2022
4800,62.9,83.3,39.5,2016
4800,44.1,60.5,45.8,2019
4735,52.6,,,2021
4735,19.2,66.4,37.3,2022
4735,59.6,66.7,34.1,2017
4735,67.4,75.4,47.9,2016
4735,46.3,74,39.3,2019
4735,45.5,71.8,40.5,2018
4734,54.3,73.6,56.2,2018
4734,53.8,78.3,50,2017
4734,62.2,76.8,61.7,2016
4734,48.2,59.5,37.9,2019
4734,28.1,54.5,6,2021
4734,21.1,,22.9,2022
4717,22.2,67.5,36.1,2017
4717,71.2,67.6,39.5,2018
4717,33.7,,,2021
4717,13,57.6,30.2,2022
4717,,70.7,36.7,2016
4717,48.9,46.3,38.8,2019
4715,50,72.2,46.6,2018
4715,43.7,61,41,2017
4715,50.9,,40,2021
4715,25.4,50,35.1,2022
4715,39.1,80.4,56.6,2016
4715,45.5,60,44.7,2019
4706,41.2,60,57.4,2016
4706,45,58.8,42.1,2019
4706,59.5,,64,2021
4706,44.3,57.4,45.7,2018
4706,38.8,62.7,32.8,2017
4704,41.8,71.8,43,2018
4704,58.1,73,43.8,2019
4704,37.1,,,2021
4704,33.7,60.1,19.7,2022
4704,44.7,64.5,36.4,2017
4704,40.1,74.8,40.5,2016
4699,,,,2019
4699,,,42,2021
4699,18.2,,,2018
4699,,,27.3,2016
4691,44.4,70.4,61.5,2019
4691,58,69.7,62.7,2016
4691,,74.2,54,2018
4691,61.5,74.1,56,2017
4691,40.5,,37.5,2021
4691,11.6,,,2022
4682,45.3,66.1,37.8,2018
4682,48.8,69.1,34.8,2017
4682,53.5,75.8,38.1,2016
4682,41.7,61.7,35.9,2019
4682,35.7,,48.1,2021
4682,32.4,58.4,28.6,2022
4670,52.1,66,43.5,2018
4670,52.8,68,40.4,2017
4670,53.5,77,47,2016
4670,45.6,65.4,50.5,2019
4670,33.7,,,2021
4670,36.9,60.3,31.8,2022
4664,35.4,69.8,60.4,2019
4664,66.7,,33.3,2021
4664,41.2,55,36.4,2022
4664,51.7,77.6,43.1,2018
4664,49.1,66.7,48.3,2017
4664,51.1,77.8,60,2016
4658,34.9,,,2021
4658,9.1,64.5,,2022
4658,53.4,59,28.2,2017
4658,44.1,48.8,29.5,2016
4658,41.3,31.5,36.4,2019
4647,47.7,38.9,25.3,2018
4647,14.9,,,2021
4647,1.3,54.2,,2022
4647,49.2,37.9,21.3,2017
4647,53.5,29,9.1,2016
4647,55.5,66.5,15.9,2019
4623,61.5,76.9,43.3,2017
4623,58.3,80.2,54.8,2016
4623,48.3,,,2021
4623,37,46.1,4.7,2022
4623,42.1,71.2,48.6,2019
4623,49.1,75,54.7,2018
4614,50.9,,,2021
4614,61.4,41,,2022
4614,51.5,74,57,2018
4614,42.4,71.8,50.7,2017
4614,47.6,74.3,35,2016
4614,37.9,77.8,45.6,2019
4608,62.2,76.3,44,2018
4608,34.5,,,2021
4608,8.4,64.7,8.5,2022
4608,49.3,56.8,45.7,2019
4608,49.4,73.9,39.3,2017
4608,60.8,78.9,52.9,2016
4602,36,73.3,40.4,2018
4602,43.2,70.3,45.7,2017
4602,51.7,70.1,39.1,2016
4602,48.5,62.7,38.7,2019
4602,53.4,,,2021
4602,11,67.1,31.1,2022
4598,41.8,,,2021
4598,28.2,74.4,29.9,2022
4598,43.7,64.1,43.4,2017
4598,51.5,78,57.7,2016
4598,42.4,69.3,44.4,2018
4598,47.1,65.4,38.3,2019
4577,57.2,75,45.9,2018
4577,39.4,,,2021
4577,32.2,41.5,35.6,2022
4577,8.2,64.2,43.7,2017
4577,5.6,70.7,45.3,2016
4577,51.9,73.3,43.9,2019
4571,7.6,68.2,37.4,2018
4571,52.4,,,2021
4571,33.3,70.1,36.7,2022
4571,54.8,46.1,38.6,2017
4571,53.3,53.2,46.3,2016
4571,35.3,69.9,41.7,2019
4564,50.5,71.2,48.3,2018
4564,32.8,,,2021
4564,16.7,42.9,44.9,2022
4564,46.9,69.2,45.5,2017
4564,55.4,86.2,46.1,2016
4564,32,54.5,46.9,2019
4558,35.4,58.2,50.9,2019
4558,47.9,71.7,44,2018
4558,44.1,,,2021
4558,37.7,64.4,23.8,2022
4558,41.4,58.7,37.1,2017
4558,52.3,63,34.7,2016
4553,35.4,53.8,34.5,2019
4553,44.4,71,40.3,2018
4553,36,,,2021
4553,21.7,56.4,27.5,2022
4553,37.6,71.4,40.3,2017
4553,43.4,71.4,33.7,2016
4545,36.3,47.5,34,2019
4545,44.6,68.8,42.8,2017
4545,52.6,69.3,38.1,2016
4545,41.3,69.1,33.6,2018
4545,35,,,2021
4545,29.7,64.6,37,2022
4528,40.9,67.9,38.8,2017
4528,46.7,59.3,39.5,2016
4528,44.5,51.7,21.1,2018
4528,70,64.8,37.5,2019
4528,35.3,,,2021
4528,5.1,55.4,34.7,2022
4458,26,74,39.3,2018
4458,37.4,,,2021
4458,34.1,52.8,,2022
4458,18.8,76.1,48.5,2017
4458,41.5,67.5,43.9,2016
4458,41.5,67.1,47.1,2019
4442,43.8,65,42,2018
4442,43.8,,,2021
4442,53.4,57.6,,2022
4442,47.9,74,39.4,2017
4442,39.7,67.2,50.4,2016
4442,51.8,50,35.3,2019
4431,53.2,62.6,41.8,2018
4431,40.3,,,2021
4431,46.5,66.9,,2022
4431,55.8,68,37,2017
4431,61.9,70.1,41.4,2016
4431,51.3,62.4,43.7,2019
4412,50.1,57.7,39.2,2017
4412,53.3,70.3,60.3,2016
4404,45.9,69.6,40.6,2018
4404,37.3,,,2021
4404,22,51.5,37.8,2022
4404,48,73.4,37,2017
4404,58.3,69.3,39.4,2016
4404,28.5,62.7,44,2019
4373,42,68.5,44.5,2018
4373,20,,,2021
4373,18.2,62.4,,2022
4373,46,64.4,31.8,2017
4373,53,75.4,39.8,2016
4373,,63.5,51.6,2019
4360,39.3,71.6,35.9,2018
4360,26.1,,,2021
4360,19.4,60.1,,2022
4360,,76.1,41.6,2016
4360,21.4,70.2,31.9,2017
4360,50.4,46.2,36.5,2019
4352,35.9,64,37.6,2019
4352,,67.1,,2018
4352,56.7,,,2021
4352,20.5,75.8,,2022
4352,,77.4,35.6,2017
4352,15.8,72,42.5,2016
4340,42.1,63,23.8,2019
4340,51.7,69.2,25,2018
4340,49.6,57.8,42.4,2017
4340,38.8,,,2021
4340,32.4,73.9,,2022
4340,63,68.8,51.1,2016
4310,41.5,,,2021
4310,36.6,18.2,30.9,2022
4310,54.5,72.7,38.2,2017
4310,14.4,45.7,43.3,2019
4310,47.6,71.1,43.7,2016
4310,58.3,69.5,46.8,2018
4295,,65.8,42.6,2016
4295,41,62.2,41.7,2019
4295,43.6,73.8,42.8,2017
4295,35.2,,50.3,2021
4295,39.1,54.8,33.7,2022
4295,51.4,66.5,49,2018
4286,52.7,61.1,44.2,2017
4286,24.1,,31.6,2021
4286,13.8,37.5,,2022
4286,51.7,71.8,41.2,2016
4286,38.8,54.5,23.7,2019
4286,47.9,64.8,,2018
4249,49.9,58.5,7.1,2018
4249,52.5,69.2,50.8,2017
4249,33.7,,32.4,2021
4249,,70.4,,2022
4249,75.7,73,61.7,2016
4249,46.6,67.1,53.3,2019
4242,6.7,74.1,39.6,2018
4242,62.5,72.2,37,2017
4242,29.4,,26.1,2021
4242,9.5,38.8,,2022
4242,55.2,74.6,74.3,2016
4242,43.6,64.1,47.7,2019
4235,48.1,79.5,46.3,2018
4235,36.2,,39.1,2021
4235,7.7,,21.1,2022
4235,44.1,76.8,57.4,2017
4235,63.6,73.1,55.2,2016
4235,44.3,67.3,58.2,2019
4217,49.3,67.6,43.3,2018
4217,45.9,74,39.6,2017
4217,42.6,,29.9,2021
4217,11.4,61.8,,2022
4217,69.7,61.6,39.6,2016
4217,40.2,50.6,36,2019
4203,40.6,66.7,35.9,2018
4203,50.6,75,54,2017
4203,41,,46.7,2021
4203,27.3,52.3,,2022
4203,63.3,68.7,56.7,2016
4203,46.9,58.9,47.9,2019
4195,37.3,57.7,29.6,2018
4195,41.3,,43.3,2021
4195,38.1,62.1,,2022
4195,40.9,51.1,32.3,2017
4195,47.4,57,43,2016
4195,46.7,69.1,30.9,2019
4188,29.6,55.1,32.1,2019
4188,49.3,70.5,44.7,2018
4188,42.9,69.6,40.5,2017
4188,26.8,,9.5,2021
4188,9.5,47,7.1,2022
4188,75,85.1,47.8,2016
4181,44.4,66.7,42.6,2019
4181,32.7,61.2,50.7,2018
4181,34.6,62.8,38.5,2017
4181,70.4,,14.3,2021
4181,15.4,59.3,,2022
4181,65.2,71.4,50,2016
4165,54.7,72.2,52.8,2016
4165,44.4,55.6,46.9,2019
4165,30.1,73.2,41.4,2018
4165,58.8,80.6,67.6,2017
4165,34.5,,17.6,2021
4165,45.5,,36.4,2022
4149,48.2,65.1,39.1,2017
4149,43.8,,,2021
4149,16.5,57.1,16.7,2022
4149,48.1,67.6,32.7,2019
4149,40,75.5,50.3,2016
4149,64.9,66.2,51.8,2018
4146,49.1,48.6,37.3,2018
4146,,66.7,43.5,2019
4146,59,73.2,50,2017
4146,60,,,2021
4146,35.3,56.1,,2022
4146,71.1,56.1,28.2,2016
4143,34.5,75.6,25.7,2018
4143,31.6,81.6,51.3,2016
4143,60,,46.3,2019
4143,65.2,72.1,49.3,2017
4143,53.3,,34.1,2021
4143,29.3,51.4,,2022
4135,61.5,,32,2021
4135,23.5,61.3,,2022
4135,57.4,61.3,54.8,2017
4135,55.6,71.1,47.4,2016
4135,40.3,58.7,42.6,2019
4135,43.7,66.7,58.5,2018
4126,73.7,70,60,2016
4126,45,59.2,,2018
4126,51.6,59.7,50,2017
4126,41.5,,43.7,2021
4126,18.2,58.3,39.4,2022
4126,42.2,66.7,50,2019
4106,67.4,62.9,43.4,2018
4106,54.3,,40.7,2019
4106,55.1,,38.5,2021
4106,22.9,70,,2022
4106,49.6,66.9,38.7,2017
4106,55.7,64.3,41.4,2016
4101,52.2,,50,2018
4098,,73.4,46.8,2016
4098,40.7,60.9,44.7,2019
4098,49.7,77.9,48.5,2018
4098,49.4,73.3,37.2,2017
4098,54.7,,33.3,2021
4098,29.7,54.1,,2022
4091,,72.3,48.4,2018
4091,38,62.9,52.2,2019
4091,61.7,74.6,50.4,2017
4091,37.6,,30.5,2021
4091,23.6,,33.7,2022
4091,46,73.9,49.3,2016
4085,64.7,69.3,39.4,2016
4085,35.9,55.3,37.8,2019
4085,58.1,62.9,44.4,2018
4085,66.1,75.1,35.3,2017
4085,16.8,,14.3,2021
4085,10,55.6,41.7,2022
4080,28.8,51.3,40,2019
4080,56.1,70.1,29.9,2017
4080,39.7,,33,2021
4080,24.2,81.6,33.3,2022
4080,47.7,66,35.9,2016
4080,31.1,76.6,53.5,2018
4068,48.8,70,48.9,2018
4068,22.4,,23.8,2021
4068,25,71.1,,2022
4068,64,63.2,33.3,2017
4068,54.8,72.7,46,2016
4068,39.4,47.8,34.4,2019
4064,66.7,66.7,48.8,2016
4064,,65.7,33.3,2019
4064,48.3,65,50.8,2018
4064,28.9,,38.8,2021
4064,48,25,,2022
4064,36.5,62,37.5,2017
4058,45.9,78.9,44.3,2018
4058,,73.8,45.9,2016
4058,49.2,64.7,33.3,2019
4058,55.9,,,2021
4058,37,59.9,35,2022
4058,51,77.6,52.1,2017
4054,7.7,83.3,48.9,2018
4054,30.6,,34.5,2021
4054,5.9,58.8,,2022
4054,42.9,73.5,50,2017
4054,43.5,73.9,45.7,2016
4054,43.6,77.3,40.4,2019
4049,53.2,66.2,45.6,2018
4049,46.5,73.2,34.3,2017
4049,37,,,2021
4049,13.5,,37.5,2022
4049,48.2,60.9,41.2,2016
4049,47.2,52.5,43.9,2019
4044,48.5,70.3,41.4,2018
4044,48.4,81.9,42.9,2017
4044,40,,37.4,2021
4044,3.6,75.8,21.1,2022
4044,45.1,80,44,2016
4044,54.5,68.5,47.7,2019
4034,50,70.2,53.8,2019
4034,64,75.6,47.4,2016
4034,49.3,70.7,51.8,2018
4034,52.2,68.2,30.3,2017
4034,50,,35.6,2021
4034,50,71.4,50,2022
4030,34.9,83.7,49,2016
4030,63.4,53.7,43.9,2017
4030,45.5,,30,2021
4030,50,57.1,39.5,2022
4030,,61.5,55.9,2019
4030,62.1,77.3,50,2018
4026,44.8,65.9,42.5,2017
4026,52.8,,42.5,2021
4026,37.9,60,37,2022
4026,40,65.1,49.2,2016
4026,68.2,76.1,38.6,2018
4026,52.4,,71.4,2019
4006,58.3,65.8,42.1,2018
4006,40.6,56.3,28.1,2017
4006,61.5,,51.6,2021
4006,17.6,,34.5,2022
4006,65,74.4,36.6,2016
4006,47.9,72.1,50,2019
4002,50,58.8,35.3,2018
4002,66.7,,55.1,2021
4002,,40,6.7,2022
4002,18.2,63.6,31.8,2017
4002,75,94.7,55,2016
4002,44.1,67.6,40,2019
3994,54.3,73.2,48.5,2019
3994,43.2,59.4,49.3,2018
3994,46.2,70.8,29.2,2017
3994,30.2,,59.6,2021
3994,41,58.3,35.3,2022
3994,65.2,61.2,46.9,2016
3988,60.3,73.8,54.3,2018
3988,55.6,76.9,57.8,2017
3988,45.2,,,2021
3988,48.6,53.5,24.1,2022
3988,50,81.2,47.8,2016
3988,46.3,65.2,50,2019
3978,45,59.5,38.8,2019
3978,47.1,63.6,37.9,2018
3978,37.3,,29.6,2021
3978,33.3,43.8,,2022
3978,56.3,69.4,40.3,2017
3978,51.8,73.1,58.2,2016
3969,56,66.7,51,2019
3969,58.3,65.6,39.1,2017
3969,45.2,,,2021
3969,32.2,38.5,,2022
3969,67.9,70.4,52.9,2016
3969,54.9,58.5,40.2,2018
3962,55.1,77.4,36.6,2016
3962,37.2,60,44.1,2019
3962,51.7,75,51.5,2018
3962,58.2,69.5,42.7,2017
3962,44,,32,2021
3962,32.2,,34.4,2022
3957,50.9,60,44.6,2018
3957,57.1,57.1,50,2017
3957,34.2,,14.3,2021
3957,16.2,53.8,41.7,2022
3957,51.1,47.5,30.5,2016
3957,43,45.8,40,2019
3940,50,52.6,36.3,2018
3940,43.5,,,2021
3940,17.9,58.3,31.6,2022
3940,45.3,41.3,42.7,2017
3940,,47.8,40.6,2016
3940,53.2,64.2,32.4,2019
3924,53.8,75.8,44.8,2018
3924,48.1,69.1,42.4,2017
3924,43.2,,25,2021
3924,40.2,50,,2022
3924,60.6,78.7,43.6,2016
3924,46.5,63.3,43.3,2019
3914,43.4,64.8,38.5,2017
3914,24,,,2021
3914,25,51.1,39.6,2022
3914,50.8,78,46.9,2016
3914,23.6,60.5,57.7,2019
3914,49.6,64.9,42.1,2018
3910,55.2,60.5,53.5,2018
3910,57.3,69.4,46.8,2017
3910,38,,26.4,2021
3910,5.1,,30.6,2022
3910,48,66,54,2016
3910,23.1,52.9,65.5,2019
3891,64.3,74.5,38.3,2016
3891,9.1,67.2,39.5,2018
3891,41.2,67.6,32.3,2019
3891,55.3,74.7,48.4,2017
3891,46.6,,31.9,2021
3891,10,,,2022
3883,59.5,70.3,54.7,2018
3883,41,68.4,44.8,2017
3883,23.9,,29.3,2021
