school_number,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
7941,10.7,34.3,27.6,2022
7930,36.9,66,54.5,2019
7930,41.9,70.8,52.8,2018
7930,50,75.8,42.4,2017
7930,46.2,,,2021
7930,34.1,70.8,2.9,2022
7930,67.8,73.8,46.7,2016
7923,58.3,78.4,55.3,2017
7923,71.7,76.1,56.5,2016
7923,59.2,80.8,51,2018
7923,50.8,78.3,75.4,2019
7923,61,23.1,3.7,2021
7923,42.9,66.4,,2022
7922,0,12,0,2018
7922,12.5,21.2,12,2017
7922,0,11.8,,2021
7922,,,34.6,2022
7922,37.4,46,7.7,2016
7922,35.7,,0,2019
7910,8.6,59.8,28,2018
7910,34.7,55.6,25.3,2017
7910,24.4,,40.5,2021
7910,11.1,0,0.7,2022
7910,48,65.1,41.7,2016
7910,35.3,39.8,35.6,2019
7909,35.1,,39.4,2021
7909,0,38.5,8.3,2022
7909,23.7,58.3,13.6,2018
7909,27.3,55.4,17.9,2017
7909,43.7,68.3,22.6,2016
7909,31.2,55.4,9.7,2019
7906,3.7,71.9,44.3,2018
7906,33.9,68.6,36.2,2017
7906,29.2,,,2021
7906,49.1,,0,2022
7906,32.4,69.5,53.4,2016
7906,6.8,21.7,48.7,2019
7905,52.3,46.9,44.9,2018
7905,36.5,47.7,25.6,2017
7905,21,,,2021
7905,38.5,62.5,9.6,2022
7905,46.8,70,31.1,2016
7905,55.7,57.1,18.2,2019
7904,44.9,84.3,69.4,2016
7904,13.3,69.2,64.6,2019
7904,40,81.8,55,2018
7904,66.7,89,62.5,2017
7904,43,,9.1,2021
7904,32.1,23,4.9,2022
7903,47.8,28,10.9,2018
7903,15.2,30.2,14.7,2017
7903,2.2,,37.5,2021
7903,0,16.7,11.1,2022
7903,15.4,57,17.5,2016
7903,29.8,16.7,11.1,2019
7902,64,74.4,44.2,2018
7902,65.7,77.5,47.9,2017
7902,74,76.6,46.8,2016
7902,62.1,12.7,48.5,2019
7902,32.6,,,2021
7902,35.1,68.9,30.4,2022
7897,64.8,83.1,51.1,2018
7897,70.4,79.6,55.1,2017
7897,75.6,81.5,60.5,2016
7897,39.5,66.3,47.7,2019
7897,57.5,,32.3,2021
7897,37.5,,41.7,2022
7894,30,68.4,26.4,2018
7894,37.5,68.3,34.9,2017
7894,52.4,64.2,42.1,2016
7894,45,44.3,39.3,2019
7894,45.2,,55.3,2021
7894,44.8,57.8,,2022
7893,42,71.3,55.9,2018
7893,53.6,70.4,44,2017
7893,26.5,,,2021
7893,21.6,56.8,,2022
7893,,75.7,39.3,2016
7893,40.5,58,44.4,2019
7866,,81.8,54.5,2018
7866,91.7,66.7,72.7,2017
7866,58.3,,39.6,2021
7866,,78,11.5,2022
7866,43.6,52.9,50,2019
7866,45,66.7,35.7,2016
7860,,,,2018
7860,,,23.1,2021
7860,,38.5,,2022
7859,50.3,78.7,47.3,2018
7859,50.7,78.1,45.6,2017
7859,56.8,78.8,60.2,2016
7859,39.9,74.8,43.7,2019
7859,29,12,27,2021
7859,22.2,69.1,22.9,2022
7858,23,51.1,25.8,2018
7858,25.7,56.4,28.1,2017
7858,19.8,52.9,22.4,2016
7858,18.2,33.3,22.2,2019
7858,20.7,63.1,24.5,2021
7858,15.2,,15.5,2022
7855,5.4,24.3,15.5,2018
7855,2,,12.8,2021
7855,0,19.6,17.9,2022
7855,12.9,34.5,19,2017
7855,10.3,16.2,4.2,2016
7855,50.8,12.1,11.5,2019
7852,8.5,30.1,4.2,2018
7852,2.1,4.4,1.4,2021
7852,,19.3,28.8,2022
7852,7.3,13.3,1.6,2017
7852,3,26.7,5.6,2016
7852,71,59,3.1,2019
7851,7.7,25.5,12.5,2016
7850,6,,20,2021
7850,,13,4.4,2022
7850,,0,16.7,2019
7850,0,68.1,36.2,2018
7850,33.8,45.3,29.2,2017
7850,10.2,65.2,30.4,2016
7846,0,0,0,2019
7846,0,,27.1,2021
7846,,16.4,0,2022
7846,0,0,0,2018
7846,0,8.3,0,2017
7846,0,0,0,2016
7844,,,,2018
7844,,61.9,,2019
7844,,,5.3,2021
7833,,52.6,42.1,2016
7833,66.7,61.7,59.3,2019
7833,45,65,55,2017
7833,27.3,,40.9,2021
7833,,64.2,34.8,2022
7833,40,80,45.5,2018
7832,18.2,27.3,9.1,2019
7832,18.2,,40.7,2021
7832,,20.5,,2022
7829,52.5,41.4,5.3,2016
7824,10.8,41.5,15.5,2018
7824,21.7,45.7,23.9,2017
7824,23.5,44.1,22.4,2016
7824,11.3,64.9,12.5,2019
7824,17.5,,13.6,2021
7824,6,,26.1,2022
7821,18.8,44.4,22.2,2019
7821,16.7,,32.4,2021
7821,15.6,43.3,5.1,2022
7821,25,56.5,36.2,2018
7821,17.6,54.9,25.5,2017
7821,28.6,57.1,37.1,2016
7819,33,54.9,37.8,2019
7819,33.2,14.8,48.1,2021
7819,23.3,41,30.8,2022
7819,37.1,63.5,34.7,2018
7819,32.8,56.1,32.6,2017
7819,42.1,70.2,42.6,2016
7818,37.9,,,2018
7815,29.8,27.2,17.5,2018
7815,25.6,51.7,17.9,2017
7815,4.9,,18.8,2021
7815,,11.1,4.5,2022
7815,15.7,70.5,39.7,2016
7815,13,41,10.5,2019
7813,11.6,27.6,5,2018
7813,0,,40.2,2021
7813,,78.5,0,2022
7813,9.6,25,2.6,2017
7813,0,47.4,0,2019
7813,36.2,50.5,15.5,2016
7811,10.4,49.3,26.7,2018
7811,37.1,74.3,31.4,2017
7811,12.4,,34.7,2021
7811,0,22.2,2,2022
7811,14.3,74.5,38.9,2016
7811,10.2,14,36.9,2019
7808,55.8,57.7,32.7,2018
7808,35.9,74.4,23.7,2017
7808,7.6,,,2021
7808,,32,,2022
7808,34,79.1,27.9,2016
7808,62.4,32.3,13.7,2019
7793,,,,2018
7790,38,66.9,37.8,2018
7790,35,63.7,35.3,2017
7790,41.6,71.1,38.1,2016
7790,29.2,60.3,42.4,2019
7790,38.6,48.1,30.4,2021
7790,28.1,46.3,32.2,2022
7782,26.7,89.2,47.5,2018
7782,47.8,89.9,37.1,2017
7782,32.6,78.8,34.6,2016
7782,45.7,,,2021
7782,52.9,7.3,3.3,2022
7782,31.8,8.5,27.6,2019
7780,21.8,44,21.3,2018
7780,9.7,,44,2021
7780,,25.3,11.4,2022
7780,19.7,51.4,31,2017
7780,66.7,45.6,25.8,2016
7780,21.2,34,20.3,2019
7777,50.5,62.5,41.8,2018
7777,32.3,69.2,40,2017
7777,0,,0,2021
7777,,13.6,6.5,2022
7777,52.2,69,29.8,2016
7777,28.7,58.2,37.5,2019
7774,27.2,52.4,23.1,2018
7774,25.2,48.7,22,2017
7774,31.2,52.8,26.3,2016
7774,23,69.9,21,2019
7774,22.8,71.4,43.5,2021
7774,19.1,66.7,43.8,2022
7772,20,29,36.7,2019
7772,36.4,0,,2021
7772,,48.3,,2022
7772,28.6,51.4,25.7,2018
7772,25.6,48.8,25.6,2017
7772,39.5,47.4,21.1,2016
7770,8.1,16.2,15.2,2018
7770,15.2,23.1,18.6,2017
7770,24,43.8,31.3,2016
7770,12.4,58.8,11.2,2019
7770,8.3,27.3,16.7,2021
7770,3.4,65.9,6.8,2022
7762,17.4,25,24,2018
7762,21.1,36.8,10.5,2017
7762,14.3,64,18.2,2019
7762,20,,,2021
7762,0,52.5,17.6,2022
7762,70.1,66.7,37.5,2016
7759,51.5,53,48.2,2019
7759,51.7,,35.4,2021
7759,52.7,,35.7,2022
7759,57.8,77.3,58.3,2018
7759,53.2,79.7,51.7,2017
7759,62,79.7,50,2016
7750,16.1,,,2021
7750,0,36,18.8,2022
7749,48.1,65.7,44.5,2018
7749,48.3,69.5,34.4,2017
7749,54.5,75.6,42.6,2016
7749,48.9,68.4,44.6,2019
7749,47.8,,33.1,2021
7749,22.5,62.9,35.5,2022
7744,54.7,34.2,15.1,2018
7744,12.6,,18.6,2021
7744,,64.6,0,2022
7744,22.9,55.3,12.5,2017
7744,,45.3,19.4,2016
7744,32.4,36.4,20.3,2019
7738,49.5,45.2,34.1,2018
7738,43.1,50.4,40.1,2017
7738,49.1,72.7,34.7,2016
7738,48.7,,5.3,2021
7738,19.2,53.1,,2022
7738,41.3,63.4,40.7,2019
7737,23,17.2,21.8,2019
7737,4.8,,35.1,2021
7737,1.5,32.3,47.6,2022
7737,46.3,57.7,29.2,2018
7737,29.1,57.5,22.8,2017
7737,23.4,66.1,32.4,2016
7727,33.6,66.2,32.6,2018
7727,48.3,66,42.1,2017
7727,49.6,72.2,49.2,2016
7727,30.3,59.3,23,2019
7727,20.5,53.7,28.4,2022
7726,37.5,38.5,32,2018
7726,31.4,60,25.7,2017
7726,31.3,46.7,26.7,2016
7726,24,29.2,12.5,2019
7726,,,,2021
7726,15.4,52.2,20.7,2022
7721,40.8,55.4,50,2018
7721,30.6,63,44.6,2017
7721,47.2,65.3,50.7,2016
7721,53.1,45.3,50.6,2019
7721,42.2,,40.6,2021
7721,19.1,57.9,27.8,2022
7720,20,18.8,6.7,2018
7720,0,,16.7,2017
7720,21.4,33.3,13.3,2016
7720,25.9,42.3,29.6,2019
7720,,,33.3,2021
