school_number,school_name,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
6816,VALLEY JSHS,42.2,,,2016
4717,NORTHERN WESTMORELAND CTC,,70.7,36.7,2016
6648,NORWIN SHS,58.1,82.1,50,2016
6191,PENN TRAFFORD HS,66.3,72.1,45.7,2016
4735,SOUTHMORELAND SHS,67.4,75.4,47.9,2016
4528,YOUGH SHS,46.7,59.3,39.5,2016
5271,LACKAWANNA TRAIL JSH,41.5,72.7,46.9,2016
4545,TUNKHANNOCK HS,52.6,69.3,38.1,2016
4553,CENTRAL YORK HS,43.4,71.4,33.7,2016
4558,DALLASTOWN AREA SHS,52.3,63,34.7,2016
4564,DOVER AREA HS,55.4,86.2,46.1,2016
4571,EASTERN YORK HS,53.3,53.2,46.3,2016
8041,HANOVER SHS,45.7,27.5,3.9,2016
4577,HELEN THACKSTON CHARTER SCHOOL,5.6,70.7,45.3,2016
6345,NORTHEASTERN SHS,54.5,67.2,37.7,2016
4598,NORTHERN HS,51.5,78,57.7,2016
4602,RED LION AREA SHS,51.7,70.1,39.1,2016
4608,KENNARD-DALE HS,60.8,78.9,52.9,2016
4614,SOUTH WESTERN SHS,47.6,74.3,35,2016
4623,SUSQUEHANNOCK HS,58.3,80.2,54.8,2016
1732,SPRING GROVE AREA SH,56.9,65.2,32.6,2016
4704,CEDAR CLIFF HS,40.1,74.8,40.5,2016
6705,RED LAND SHS,53.5,66.7,56,2016
4647,WEST YORK AREA SHS,53.5,29,9.1,2016
5168,WILLIAM PENN SHS,21.5,62.2,48.3,2016
4658,YORK CO SCHOOL OF TECH,44.1,48.8,29.5,2016
3,BERMUDIAN SPRINGS HS,45.3,71.2,38.1,2019
17,NEW OXFORD SHS,43.7,62.5,40.5,2019
6269,FAIRFIELD AREA HS,53.9,63.2,52.6,2019
6271,GETTYSBURG AREA HS,33.5,63.9,38.5,2019
14,LITTLESTOWN SHS,51.4,73.1,43.1,2019
21,BIGLERVILLE HS,41.4,67.7,31.8,2019
5273,A W BEATTIE CAREER CENTER,,,,2019
29,SPRINGDALE JSHS,58.9,69.1,49.1,2019
5199,AVONWORTH HS,33,67.2,38.1,2019
50,BALDWIN SHS,51.4,64.4,43.3,2019
62,BETHEL PARK HS,52.9,71.7,36.5,2019
70,BRENTWOOD SHS,37.2,48.8,32.6,2019
79,CARLYNTON JSHS,49.5,51,53.6,2019
6706,CHARTIERS VALLEY HS,59.1,70.7,50.8,2019
7727,CITY CHS,30.3,59.3,23,2019
8094,CLAIRTON MS/HS,43.2,50,37.1,2019
8087,CORNELL HS,28.3,45.7,39.1,2019
513,DEER LAKES HS,40.2,62.5,39.5,2019
8340,EAST ALLEGHENY JSHS,33,48.2,27.8,2019
144,ELIZABETH FORWARD SHS,48.6,58.7,49.3,2019
5016,FORBES ROAD CTC,27.3,,27.3,2019
156,FOX CHAPEL AREA HS,34.8,55.4,36.1,2019
170,GATEWAY SHS,51.9,71.2,36.7,2019
5190,HAMPTON HS,39.8,48.5,34.2,2019
5153,HIGHLANDS SHS,51,69.4,33.8,2019
8308,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,2.6,8.8,2.9,2019
5112,KEYSTONE OAKS HS,57.2,65.2,39.3,2019
6105,MCKEESPORT AREA SHS,21.8,45.1,23.8,2019
6672,MCKEESPORT AREA TECH CTR,,,,2019
5017,MONTOUR HS,48.5,70.8,38.7,2019
4951,MOON SHS,52.1,65.8,37.7,2019
254,MT LEBANON SHS,44.5,61,37.1,2019
8305,NORTH ALLEGHENY HS,37.9,56.2,33.5,2019
7101,NORTH HILLS SHS,39.6,61.6,39.8,2019
53,NORTHGATE MSHS,33.3,54,50,2019
5274,PARKWAY WEST CTC,,,,2019
309,PENN HILLS SHS,24.2,45.5,30.5,2019
7821,PENNSYLVANIA DISTANCE LEARNING CS,18.8,44.4,22.2,2019
315,PINE-RICHLAND HS,49,73.4,49.6,2019
8203,ACADEMY AT WESTINGHOUSE,17.9,30.7,10.1,2019
409,PITTSBURGH ALLDERDICE HS,42.8,58.3,35.3,2019
6915,PITTSBURGH BRASHEAR HS,27.4,37.5,21.4,2019
8106,PITTSBURGH CAPA 6-12,47.7,59.4,40.6,2019
412,PITTSBURGH CARRICK HS,36.1,66.9,21.7,2019
8110,PITTSBURGH MILLIONES 6-12,22.2,26.7,7.3,2019
8105,PITTSBURGH OBAMA 6-12,54.6,66.4,40.3,2019
6047,PITTSBURGH OLIVER,,,,2019
8300,PITTSBURGH ONLINE ACADEMY,31.3,62.5,31.3,2019
416,PITTSBURGH PERRY HS,20,33.3,9.2,2019
8107,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY 6-12,47.7,79.1,55.8,2019
435,PLUM SHS,45.1,69.1,47.4,2019
8129,PROPEL CS-BRADDOCK HILLS,22.6,55.4,20,2019
7772,PROPEL CS-HOMESTEAD,20,29,36.7,2019
7832,PROPEL CS-MONTOUR,18.2,27.3,9.1,2019
448,QUAKER VALLEY HS,32.1,69.7,43.9,2019
6928,RIVERVIEW JSHS,59.5,69.4,45.8,2019
460,SHALER AREA HS,55.8,59.1,35.3,2019
440,SOUTH ALLEGHENY MS/HS,46.1,63.3,33.3,2019
470,SOUTH FAYETTE TWP HS,39.4,68.7,58.9,2019
467,SOUTH PARK SHS,37.2,63,31.5,2019
7648,SPECTRUM CS,,,,2019
6113,STEEL CENTER FOR CAREER AND TECHNICAL EDUCATION,,,,2019
196,STEEL VALLEY SHS,32.4,45.6,36.3,2019
477,STO-ROX JSHS,13.8,18.8,4.8,2019
7846,THE NEW ACADEMY CS,0,0,0,2019
492,UPPER SAINT CLAIR HS,37.6,62.5,32.8,2019
7562,URBAN PATHWAYS 6-12 CS,10,28.6,17.1,2019
509,WEST ALLEGHENY SHS,55.4,65.5,59.5,2019
523,THOMAS JEFFERSON HS,43.7,61.8,49.5,2019
536,WEST MIFFLIN AREA HS,35.7,59.6,33.8,2019
8392,WESTINGHOUSE ARTS ACADEMY CS,40,56,46.2,2019
107,WOODLAND HILLS JSHS,27.9,54.5,31.1,2019
2320,APOLLO-RIDGE HS,61.8,72.1,54.4,2019
8342,ARMSTRONG JSHS,64.6,79.9,34.7,2019
7640,WEST SHAMOKIN JSHS,68.9,73.3,28.3,2019
594,FREEPORT AREA SHS,46.6,66.4,37,2019
7923,LEECHBURG AREA HS,50.8,78.3,75.4,2019
4807,LENAPE TECH,41.7,50.9,35.6,2019
8086,ALIQUIPPA JSHS,23.4,34,8.9,2019
6555,AMBRIDGE AREA HS,45.7,59.7,47.4,2019
640,BEAVER AREA SHS,55.1,69.6,43.2,2019
6985,BEAVER COUNTY CTC,,,,2019
649,BEAVER FALLS AREA SHS,28.2,54.6,33,2019
6707,BLACKHAWK HS,54.3,71.6,57.6,2019
8044,CENTRAL VALLEY HS,48.8,74.4,41.3,2019
6563,FREEDOM AREA SHS,39.8,52.7,37,2019
675,HOPEWELL SHS,48.5,58.8,56.2,2019
7859,LINCOLN PARK PERFORMING ARTS CS,39.9,74.8,43.7,2019
695,NEW BRIGHTON AREA HS,56.3,68,37.9,2019
7650,PENNSYLVANIA CYBER CS,31,52.4,31.7,2019
700,RIVERSIDE HS,35.7,75,39.8,2019
8000,ROCHESTER HIGH SCHOOL,20.5,54.5,36.4,2019
714,SOUTH SIDE HS,48.2,73.8,54.8,2019
719,WESTERN BEAVER CO JSHS,35.3,62.7,49,2019
726,BEDFORD SHS,41.1,56.4,43.9,2019
7096,BEDFORD COUNTY TECHNICAL CENTER,,,,2019
732,CHESTNUT RIDGE SHS,62.3,74.5,53.8,2019
7897,EVERETT AREA HS,39.5,66.3,47.7,2019
8154,HOPE FOR HYNDMAN CS,14.3,50,7.1,2019
8436,NORTHERN BEDFORD COUNTY HS,74.3,65.7,52.9,2019
753,TUSSEY MOUNTAIN HS,36.2,57.6,47.5,2019
820,ANTIETAM MS/HS,33.8,50,45.6,2019
6304,BERKS CTC-EAST CAMPUS,25,58.3,27.3,2019
6306,BOYERTOWN AREA SHS,43.1,66.6,43.6,2019
6308,BRANDYWINE HEIGHTS HS,41.6,51.3,29.2,2019
777,CONRAD WEISER HS,35.6,73,35.1,2019
4810,DANIEL BOONE AREA HS,46.7,69.8,48.2,2019
788,EXETER TWP SHS,32.5,65.3,37.5,2019
5023,FLEETWOOD SHS,50,67.8,34.8,2019
802,GOVERNOR MIFFLIN SHS,41.2,54.9,45.8,2019
808,HAMBURG AREA HS,54.5,67.7,41.3,2019
8155,I-LEAD CHARTER SCHOOL,4.7,34.1,8.9,2019
816,KUTZTOWN AREA SHS,58.8,71.9,30.5,2019
6610,MUHLENBERG HS,39.4,58.6,40.7,2019
6318,OLEY VALLEY SHS,55.9,66.1,53.2,2019
5275,READING MUHLENBERG CTC,0,,7.7,2019
8116,READING SHS,32.1,44.3,29,2019
864,SCHUYLKILL VALLEY HS,50.4,68.3,52.8,2019
4670,TULPEHOCKEN JSHS,45.6,65.4,50.5,2019
873,TWIN VALLEY HS,35.2,58.9,38.8,2019
6980,WILSON HS,53.2,64.5,34.8,2019
887,WYOMISSING AREA JSHS,46.3,58.5,29.4,2019
913,ALTOONA AREA HS,50.3,66.6,44.8,2019
917,BELLWOOD-ANTIS HS,37.6,65.2,40.9,2019
7720,CENTRAL PA DIGITAL LRNG FOUNDATION CS,25.9,42.3,29.6,2019
921,CLAYSBURG-KIMMEL HS,28.3,55.8,37.7,2019
6193,GREATER ALTOONA CTC,,,,2019
5207,HOLLIDAYSBURG AREA SHS,47.9,73.5,55.9,2019
941,CENTRAL HS,51.5,71.4,45,2019
949,TYRONE AREA HS,71,66.9,33.9,2019
951,WILLIAMSBURG COMMUNITY JSHS,33.3,66.7,54.5,2019
958,ATHENS AREA HS,35.9,61.7,40.9,2019
988,CANTON JSHS,36.1,47.3,23.6,2019
964,NORTHEAST BRADFORD JSHS,45,66.1,62.9,2019
6908,NORTHERN TIER CAREER CENTER,,27.3,,2019
965,SAYRE AREA HS,43.1,46.2,35.9,2019
5208,TOWANDA AREA JSHS,54.5,56.8,45.5,2019
1000,TROY AREA JSHS,39.6,60.8,38.9,2019
1005,WYALUSING VALLEY JSHS,37.6,60.5,37.2,2019
5116,BENSALEM TWP HS,39.7,51.9,38.1,2019
1014,BRISTOL HS,48.9,54.2,29.2,2019
1029,TRUMAN SHS,38.2,54.2,21.4,2019
1030,BUCKS COUNTY TECHNICAL HIGH SCHOOL,38.9,56.9,30.4,2019
1040,WILLIAM TENNENT HS,41.4,56.2,42.7,2019
7726,CENTER FOR STUDENT LRNG CS PENNSBURY,24,29.2,12.5,2019
5133,CENTRAL BUCKS HS-EAST,23.2,60.8,22.8,2019
7790,CENTRAL BUCKS HS-SOUTH,29.2,60.3,42.4,2019
1043,CENTRAL BUCKS HS-WEST,24.3,60.5,31,2019
5096,COUNCIL ROCK HS NORTH,38,55.3,31.9,2019
7749,COUNCIL ROCK HS SOUTH,48.9,68.4,44.6,2019
5175,MIDDLE BUCKS INSTITUTE OF TECHNOLOGY,,,,2019
8381,MORRISVILLE HS,38.5,62.8,25,2019
6455,NESHAMINY HS,41.8,66.7,39.3,2019
1084,NEW HOPE-SOLEBURY HS,44.4,74,39,2019
1094,PALISADES HS,41.6,63.5,35.8,2019
1100,PENNRIDGE HS,50.5,61.6,43.1,2019
4682,PENNSBURY HS,41.7,61.7,35.9,2019
1128,QUAKERTOWN COMMUNITY HS,41.4,64.9,42.8,2019
7568,SCHOOL LANE CS,46.3,59.7,44.1,2019
4699,UPPER BUCKS COUNTY TECHNICAL SCHOOL,,,,2019
8344,BUTLER AREA SHS,51,66.6,54.1,2019
6999,BUTLER COUNTY AVTS,27.3,0,,2019
1154,KARNS CITY HS,60.2,77.1,57.8,2019
1159,MARS AREA SHS,35.2,80.3,45.7,2019
1164,MONITEAU JSHS,40.2,63,55.8,2019
8318,SENECA VALLEY HS,46.3,64.3,54.9,2019
1172,SLIPPERY ROCK AREA HS,44.8,66.7,44.4,2019
1177,KNOCH HS,51.5,65.9,41.7,2019
6661,ADMIRAL PEARY AVTS,,,,2019
5135,BLACKLICK VALLEY JSHS,56.3,54.2,47.9,2019
5212,CAMBRIA HEIGHTS SHS,47.2,75.5,55.7,2019
1208,CENTRAL CAMBRIA HS,43.6,65.4,43.6,2019
5136,CONEMAUGH VALLEY JSHS,56.5,73.9,50,2019
1225,FERNDALE AREA JSHS,31,52.4,50,2019
8382,FOREST HILLS JSHS,50.4,65,49.2,2019
5288,GREATER JOHNSTOWN CTC,,,,2019
8314,GREATER JOHNSTOWN SCHOOL DISTRICTS CYBER ACADEMY,,,,2019
1251,GREATER JOHNSTOWN SHS,24.7,50.6,20.7,2019
6201,NORTHERN CAMBRIA HS,44.3,63.3,55,2019
1213,PENN CAMBRIA HS,43.3,54.3,42.5,2019
1270,PORTAGE AREA JSHS,59.3,81.4,39,2019
7941,RICHLAND HS,42.3,70.8,43.4,2019
8379,WESTMONT HILLTOP JSHS,29.8,58.4,35.5,2019
1299,CAMERON COUNTY JSHS,52.8,58.3,41.7,2019
4870,CARBON CAREER & TECHNICAL INSTITUTE,57.5,58.6,34.3,2019
1307,JIM THORPE AREA HS,50,65.4,42.5,2019
1315,LEHIGHTON AREA HS,41.6,66.2,43.2,2019
4734,PALMERTON AREA HS,48.2,59.5,37.9,2019
8348,PANTHER VALLEY JSHS,24.7,58.9,41.1,2019
1327,WEATHERLY AREA SHS,36.7,59.2,47.8,2019
1335,BALD EAGLE AREA JSHS,61.2,67.5,51.2,2019
1343,BELLEFONTE AREA HS,46.9,60.1,44.8,2019
6231,PENNS VALLEY AREA JSHS,56.5,,43.6,2019
1364,STATE COLLEGE AREA HS,24.8,68.1,29.3,2019
7691,21ST CENTURY CYBER CS,38,61.4,45.2,2019
7824,ACHIEVEMENT HOUSE CS,11.3,64.9,12.5,2019
7858,AGORA CYBER CS,18.2,33.3,22.2,2019
7721,AVON GROVE CS,53.1,45.3,50.6,2019
1367,AVON GROVE HS,34.5,64.6,37.5,2019
7293,CHESTER CO TECHNICAL COLLEGE HS-PICKERING,9.4,62.7,16.1,2019
8415,COATESVILLE AREA SD CYBER ACADEMY,9.5,6.5,7.1,2019
5012,COATESVILLE AREA SHS,31.5,41.2,25.1,2019
7628,COLLEGIUM CS,52.6,45.3,38.4,2019
7759,DOWNINGTOWN HS EAST CAMPUS,51.5,53,48.2,2019
1387,DOWNINGTOWN HS WEST CAMPUS,54.5,72.7,53.1,2019
8174,DOWNINGTOWN STEM ACADEMY,22.2,68.9,8.7,2019
1424,GREAT VALLEY HS,30.9,33.3,33.6,2019
8394,INSIGHT PA CYBER CS,36.9,63,37.5,2019
6482,KENNETT HS,32.9,57.8,40.4,2019
1414,OCTORARA AREA JSHS,46.9,59.1,30.6,2019
1406,OWEN J ROBERTS HS,54.1,62.8,42.3,2019
1420,OXFORD AREA HS,40.3,68.4,46.2,2019
7819,PENNSYLVANIA LEADERSHIP CS,33,54.9,37.8,2019
1426,PHOENIXVILLE AREA HS,37.4,63.3,35.4,2019
7636,RENAISSANCE ACADEMY CS,34.7,64.1,37.5,2019
1423,CONESTOGA SHS,24.3,68.5,30.1,2019
1443,UNIONVILLE HS,27.6,62.4,37.4,2019
7894,WEST CHESTER BAYARD RUSTIN HS,45,44.3,39.3,2019
6734,WEST CHESTER EAST HS,33.7,62.5,38.3,2019
1453,WEST CHESTER HENDERSON HS,54.5,57.7,50.9,2019
4664,ALLEGHENY-CLARION VALLEY HS,35.4,69.8,60.4,2019
1475,CLARION AREA JSHS,51.1,63.8,47.8,2019
6909,CLARION COUNTY CAREER CENTER,,58.3,,2019
1480,CLARION-LIMESTONE AREA JSHS,59.2,,56.3,2019
1486,KEYSTONE JSHS,50.7,69.4,47.1,2019
1489,NORTH CLARION CO JSHS,38.6,66.2,56.8,2019
1495,REDBANK VALLEY HS,56.9,72.7,51.8,2019
1501,UNION HS,52,77.6,36,2019
6236,CLEARFIELD AREA JSHS,43.2,60,45.9,2019
5276,CLEARFIELD COUNTY CTC,,59.6,,2019
1529,CURWENSVILLE AREA JSHS,41.2,,25.9,2019
6156,DUBOIS AREA SHS,50.4,56.9,41.7,2019
5219,GLENDALE JSHS,53.8,64.3,40.4,2019
8316,HARMONY AREA JSHS,36.4,59.6,36.4,2019
1550,MOSHANNON VALLEY JSHS,38.5,77.3,33.8,2019
1560,PHILIPSBURG-OSCEOLA AREA HS,35.5,50,45.4,2019
1566,WEST BRANCH AREA JSHS,39.1,58.5,31.8,2019
7067,KEYSTONE CENTRAL CTC,,56.9,,2019
6241,BUCKTAIL HS,50,,50,2019
7589,CENTRAL MOUNTAIN HS,35.2,69.2,35.5,2019
7635,SUGAR VALLEY RURAL CS,29.7,54.4,30.6,2019
8434,BENTON AREA HS,55.6,45.9,50,2019
1605,BERWICK AREA HS,49,75.9,43.4,2019
1612,BLOOMSBURG AREA HS,46.8,65.8,56,2019
1619,CENTRAL COLUMBIA SHS,50,67.9,51.2,2019
5178,COLUMBIA-MONTOUR AVTS,38.1,65,31.8,2019
1623,MILLVILLE AREA JSHS,32.6,48.3,32.6,2019
1627,SOUTHERN COLUMBIA HS,76.7,58.7,65,2019
7567,SUSQ-CYBER CS,,70.9,9.1,2019
8224,CONNEAUT AREA SENIOR HIGH,33.6,,33.6,2019
1632,COCHRANTON JSHS,31.7,55.6,43.9,2019
1654,MEADVILLE AREA SHS,43.5,53,45.8,2019
5179,CRAWFORD COUNTY CTC,,62.3,,2019
1629,CAMBRIDGE SPRINGS JSHS,50,,40.6,2019
6942,MAPLEWOOD JSHS,52.8,68.8,34.7,2019
6136,SAEGERTOWN JSHS,42.1,61.1,34.7,2019
1677,BIG SPRING HS,37.8,59.5,41.1,2019
1682,CAMP HILL SHS,28.9,57.6,41.7,2019
1694,CARLISLE AREA HS,45.9,63.4,36.2,2019
5277,CUMBERLAND PERRY AVTS,,68.7,,2019
1701,CUMBERLAND VALLEY HS,29.2,,33.4,2019
1707,EAST PENNSBORO AREA SHS,43.6,57.6,37.6,2019
5098,MECHANICSBURG AREA SHS,52.1,60.8,38,2019
5221,SHIPPENSBURG AREA SHS,53,62.2,33.1,2019
6328,BOILING SPRINGS HS,47.9,55.2,38.8,2019
8278,CAPITAL AREA SCHOOL FOR THE ARTS CHARTER SCHOOL,55.6,67.8,69.6,2019
1746,CENTRAL DAUPHIN EAST SHS,35,76.1,28.5,2019
1745,CENTRAL DAUPHIN SHS,56,50.5,49.2,2019
7774,COMMONWEALTH CHARTER ACADEMY CS,23,69.9,21,2019
5278,DAUPHIN COUNTY TECHNICAL SCHOOL,35.6,44.2,26.7,2019
4801,HERSHEY HS,33.9,52.4,35.4,2019
6330,HALIFAX AREA HS,51.6,61.5,44.3,2019
8376,COUGAR ACADEMY,0,75.8,0,2019
6333,HARRISBURG HS,5.7,15.8,12.3,2019
7902,HARRISBURG HS - SCITECH CMP,62.1,12.7,48.5,2019
1776,LOWER DAUPHIN HS,33.8,73.1,41.5,2019
7844,PRICE,,61.9,,2019
1790,MIDDLETOWN AREA HS,37.9,,36.2,2019
1794,MILLERSBURG AREA SHS,60,67.1,50,2019
8366,REACH CYBER CS,28.7,62.5,25.1,2019
1801,STEELTON-HIGHSPIRE HS,25,54.4,12.5,2019
1806,SUSQUEHANNA TWP HS,34.1,31.3,34.4,2019
6340,UPPER DAUPHIN AREA HS,39,51.9,41.6,2019
8258,CHESTER CS FOR THE ARTS,6.3,57.1,6.8,2019
6492,CHESTER HS,2,11.1,5.6,2019
8303,STEM AT SHOWALTER,11.7,17.5,10.7,2019
1849,CHICHESTER SHS,27.2,28.9,30.1,2019
7058,DELAWARE COUNTY TECHNICAL HIGH SCHOOL-ASTON,27.3,57,,2019
7057,DELAWARE COUNTY TECHNICAL HIGH SCHOOL-FOLCROFT,10,27.3,11.1,2019
1869,GARNET VALLEY HS,42.8,33.3,37.8,2019
1879,HAVERFORD SHS,30.4,69.2,35.4,2019
1885,INTERBORO SHS,49.8,62.9,45.9,2019
1902,MARPLE NEWTOWN SHS,38.8,62.6,34.8,2019
1915,SUN VALLEY HS,57,66.5,47.1,2019
1921,RADNOR SHS,28.8,68.4,35.5,2019
1934,RIDLEY HS,41.4,54.1,33.3,2019
1942,PENNCREST HS,41.3,64,38.3,2019
6516,ACADEMY PARK HS,23.9,56.7,21.5,2019
1950,SPRINGFIELD HS,37.1,42.7,39.4,2019
1972,UPPER DARBY SHS,33.3,64,32.3,2019
5287,STRATH HAVEN HS,36.7,55.7,29,2019
8231,PENN WOOD HS,29.6,57.4,16.5,2019
6218,JOHNSONBURG AREA HS,56.8,39.9,50,2019
1989,RIDGWAY AREA HS,36.4,79.5,59.1,2019
5169,ST MARYS AREA SHS,50.6,64.6,45.3,2019
1998,CORRY AREA HS,61.3,59.6,38.7,2019
8417,ERIE HS,22.5,63.3,19.1,2019
7515,NORTHWEST PA COLLEGIATE ACADEMY,41.4,31,49.8,2019
5045,ERIE COUNTY TECHNICAL SCHOOL,,78.4,,2019
6737,FAIRVIEW HS,33.6,,31.8,2019
2037,FORT LEBOEUF SHS,37,56.5,45.7,2019
2040,GENERAL MCLANE HS,36.8,60.1,46.9,2019
2043,GIRARD HS,30.5,49.3,52.8,2019
7948,HARBOR CREEK SENIOR HS,44.8,71.3,47.7,2019
4817,IROQUOIS JSHS,59.8,67.6,55.4,2019
8071,MCDOWELL HS,35.7,69.6,41.8,2019
6145,NORTH EAST HS,51.3,60.8,33.6,2019
6745,NORTHWESTERN SHS,31.7,65.5,41.2,2019
7770,PERSEUS HOUSE CS OF EXCELLENCE,12.4,58.8,11.2,2019
2075,UNION CITY HS,46.4,14.9,44.9,2019
6148,SENECA HS,55.8,58,47.3,2019
6001,ALBERT GALLATIN AREA SHS,36.1,57,25.9,2019
4818,BROWNSVILLE AREA HS,24.4,42.9,29.5,2019
6643,CONNELLSVILLE AREA CAREER & TECHNICAL CENTER,22.7,47,36.8,2019
5228,CONNELLSVILLE AREA SHS,49,29.4,58,2019
4842,FAYETTE COUNTY CAREER & TECHNICAL INSTITUTE,,65.4,,2019
2126,FRAZIER HS,35.6,,40.4,2019
6600,LAUREL HIGHLANDS SHS,41.1,52.3,37.6,2019
2184,UNIONTOWN AREA SHS,40.1,46.8,28,2019
6159,EAST FOREST JSHS,15.8,62.3,47.1,2019
6161,WEST FOREST JSHS,58.8,66.7,52.9,2019
8244,CHAMBERSBURG AREA CAREER MAGNET SCH,52.8,52.9,46,2019
2191,CHAMBERSBURG AREA SHS,42.3,70.8,39.4,2019
2201,FANNETT-METAL SHS,50,57.8,38.9,2019
5119,FRANKLIN COUNTY CTC,,80.6,,2019
2206,GREENCASTLE-ANTRIM SHS,54.1,,40.7,2019
6280,JAMES BUCHANAN HS,41.7,72.1,43.6,2019
2243,WAYNESBORO AREA SHS,50,63.6,44.3,2019
6252,MCCONNELLSBURG HS,50.7,65.8,49.3,2019
2246,FORBES ROAD JSHS,33.3,76.1,44.4,2019
7192,FULTON COUNTY AVTS,,72.2,,2019
2253,SOUTHERN FULTON JSHS,45.6,,49.1,2019
7112,CARMICHAELS AREA HS,34.6,73.7,48.2,2019
5118,WAYNESBURG CENTRAL HS,50,65.9,37.3,2019
5282,GREENE COUNTY CTC,,71.2,,2019
2280,JEFFERSON-MORGAN MS/HS,42.2,,51.1,2019
2284,MAPLETOWN JSHS,31,60,37.9,2019
8442,WEST GREENE JSHS,50,48.3,39.5,2019
2305,HUNTINGDON AREA SHS,40.9,60.5,34.5,2019
6606,HUNTINGDON COUNTY CTC,,57,,2019
2308,JUNIATA VALLEY JSHS,42.1,,43.9,2019
7944,MOUNT UNION AREA SHS,48.8,52.6,39.5,2019
7762,NEW DAY CHARTER SCHOOL,14.3,64,18.2,2019
2313,SOUTHERN HUNTINGDON CO HS/MS,43.3,36.4,47,2019
4706,BLAIRSVILLE SHS,45,58.8,42.1,2019
2353,SALTSBURG MS/HS,48.5,53.3,51.5,2019
2331,HOMER-CENTER JSHS,37.3,48.5,62.7,2019
2325,INDIANA AREA SHS,31.4,79.7,33.3,2019
7032,INDIANA COUNTY TECHNOLOGY CENTER,,57.8,,2019
2339,MARION CENTER AREA JR/SR HS,50,,47.9,2019
2345,PENNS MANOR AREA JSHS,45.6,73.4,49.1,2019
2350,PURCHASE LINE JSHS,38.9,63.2,40,2019
2358,UNITED JSHS,59.5,54.5,53.4,2019
2362,BROCKWAY AREA JSHS,44.8,72.6,38.8,2019
6162,BROOKVILLE JSHS,44.4,67.2,43.5,2019
5180,JEFFERSON COUNTY-DUBOIS AVTS,26,60.2,20.8,2019
6165,PUNXSUTAWNEY AREA HS,41.4,55,67.6,2019
2394,EAST JUNIATA JSHS,51.7,61.4,44.2,2019
6255,JUNIATA SHS,51.6,69,30.7,2019
5091,ABINGTON HEIGHTS HS,40.1,65.8,39.5,2019
2420,CARBONDALE AREA JSHS,36,77,37.5,2019
7290,CTC OF LACKAWANNA COUNTY,,58.4,,2019
8312,DUNMORE JSHS,45.1,,51.8,2019
6404,LAKELAND JSHS,51.9,67,52.3,2019
8304,MID VALLEY SECONDARY CENTER,35.6,65.1,46.2,2019
2446,NORTH POCONO HS,53.4,62.5,46.7,2019
2449,OLD FORGE JSHS,57.4,63.4,41.7,2019
2496,RIVERSIDE JSHS,40,62.5,31.2,2019
6413,SCRANTON HS,25.5,45.4,28.5,2019
2489,WEST SCRANTON HS,33.7,48.5,32.8,2019
6775,VALLEY VIEW HS,48.8,56.4,37,2019
6290,COCALICO SHS,50.3,72.2,39.9,2019
2515,COLUMBIA HS,31.8,61.9,32.9,2019
2532,CONESTOGA VALLEY SHS,45.9,51.7,43.7,2019
2539,DONEGAL HS,35.4,67.5,36.3,2019
2554,GARDEN SPOT SHS,33.2,62,35.9,2019
2562,ELIZABETHTOWN AREA SHS,30.4,49.5,35.1,2019
6293,EPHRATA SHS,35.4,53.3,35.6,2019
2578,HEMPFIELD SHS,30.1,69.9,37.2,2019
7538,LA ACADEMIA PARTNERSHIP CHARTER SCHOOL,35,64.3,40,2019
2607,LAMPETER-STRASBURG SHS,35,50,45.6,2019
5285,LANCASTER COUNTY CTC-BROWNSTOWN CAMPUS,,65.7,,2019
2596,LANCASTER COUNTY CTC-MT JOY CAMPUS,,,28.2,2019
7922,MCCASKEY CAMPUS,35.7,,0,2019
2618,PHOENIX ACADEMY,4.2,44.6,37.8,2019
2623,MANHEIM CENTRAL SHS,56.9,4.3,37.9,2019
2633,MANHEIM TWP HS,46.4,66.4,43.6,2019
2649,PENN MANOR HS,37.8,63.9,42.3,2019
2658,PEQUEA VALLEY HS,64.9,64.3,39.6,2019
2663,SOLANCO HS,55.2,64.9,34.2,2019
2675,WARWICK SHS,40.6,54.4,51.2,2019
2680,LINCOLN JSHS,39.8,61.8,69.7,2019
4940,LAUREL HS,68.4,61.6,36,2019
2686,LAWRENCE COUNTY CTC,20,78.9,44.9,2019
2689,MOHAWK SHS,43.8,48.5,50,2019
2704,NESHANNOCK JSHS,62.2,62.9,40,2019
2708,NEW CASTLE SHS,37.5,73.3,43,2019
2712,SHENANGO HS,50.6,64.4,52.1,2019
2721,UNION AREA HS,45.8,75.9,48.7,2019
2725,WILMINGTON AREA HS,39.5,70.8,35.3,2019
4800,ANNVILLE CLEONA HS,44.1,60.5,45.8,2019
2740,CEDAR CREST HS,49.7,58.8,38.8,2019
5156,EASTERN LEBANON CO SHS,50.7,67.7,,2019
5155,LEBANON COUNTY CTC,,60.7,23.8,2019
2760,LEBANON SHS,24,,29.7,2019
2766,NORTHERN LEBANON SHS,44.5,44.5,42.6,2019
8412,PALMYRA AREA SHS,44.6,53.4,5.9,2019
2795,BUILDING 21 ALLENTOWN,16.7,72.8,18.6,2019
2794,LOUIS E DIERUFF HS,28.3,27,22.2,2019
