school_number,school_name,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
6455,NESHAMINY HS,44,66.9,36.9,2018
1077,POQUESSING MS,,,,2018
1084,NEW HOPE-SOLEBURY HS,32.8,78.2,24.8,2018
1094,PALISADES HS,47.7,71.2,37.3,2018
1100,PENNRIDGE HS,57.8,72.4,35.8,2018
4682,PENNSBURY SHS,45.3,66.1,37.8,2018
1128,QUAKERTOWN COMM,41.7,68.8,45.5,2018
7568,SCHOOL LANE CS,42.9,56.1,36.8,2018
4699,UPPER BUCKS CO AVTS,18.2,,,2018
8344,BUTLER AREA SHS,51.6,71.5,53.2,2018
6999,BUTLER CO AVTS,,,,2018
1154,KARNS CITY HS,68,72.4,59.8,2018
1159,MARS AREA SHS,45.4,79.1,38.8,2018
1164,MONITEAU JSHS,57.3,71.7,63.5,2018
8318,SENECA VALLEY HS,51.6,72.7,53.9,2018
1172,SLIPPERY ROCK AREA H,46.9,76.1,54.4,2018
1177,KNOCH HS,55.7,70.4,35,2018
6661,ADMIRAL PEARY AVTS,,,,2018
5135,BLACKLICK VALLEY JSH,45,58.5,48.8,2018
5212,CAMBRIA HEIGHTS SHS,62.1,85.3,56.9,2018
1208,CENTRAL CAMBRIA HS,43,64.8,43.8,2018
5136,CONEMAUGH VALLEY JSH,49.4,74.7,54.4,2018
1225,FERNDALE AREA JSHS,49,58.8,46,2018
8382,FOREST HILLS JSHS,43.3,70.4,46.3,2018
5288,GREATER JOHNSTOWN AVTS,,,,2018
1251,GREATER JOHNSTOWN HIGH SCHOOL,36.1,57.4,26.1,2018
8314,GREATER JOHNSTOWN SCHOOL DISTRIC,21.4,28.6,15.4,2018
6201,NORTHERN CAMBRIA HS,49.2,58.5,41.5,2018
1213,PENN-CAMBRIA SHS,41.3,67.7,49.6,2018
1270,PORTAGE AREA HS,63.9,74,46.6,2018
7941,RICHLAND JR/SR HIGH SCHOOL,28.2,69.7,47.3,2018
8379,WESTMONT HILLTOP JSHS,42.3,67.3,35.6,2018
1299,CAMERON COUNTY JSHS,50,70.5,54.5,2018
4870,CARBON CAREER & TECH INSTITUTE,58.8,73.8,46.3,2018
1307,JIM THORPE AREA SHS,56.7,71.1,52.8,2018
1315,LEHIGHTON AREA HS,44.1,62.1,42.5,2018
4734,PALMERTON AREA HS,54.3,73.6,56.2,2018
8348,PANTHER VALLEY JSHS,18.3,43.7,21.4,2018
1327,WEATHERLY AREA SHS,37.8,69.8,48.9,2018
1335,BALD EAGLE AREA JSHS,65.6,67.7,53,2018
1343,BELLEFONTE AREA HS,57.2,65.3,47.4,2018
5094,CENTRAL PA INST OF SCIENCE & TEC,,,,2018
6231,PENNS VALLEY AREA JSHS,61.5,68.8,39.4,2018
1364,STATE COLLEGE AREA H,28.5,53.3,35.7,2018
7691,21ST CENTURY CYBER CS,54.7,76.8,44.9,2018
7824,ACHIEVEMENT HOUSE CS,10.8,41.5,15.5,2018
7858,AGORA CYBER CS,23,51.1,25.8,2018
7721,AVON GROVE CS,40.8,55.4,50,2018
1367,AVON GROVE HS,37.8,71.4,40.6,2018
7860,CHESTER COOUNTY TECH COLLEGE HS,,,,2018
7292,CHESTER COUNTY TECHNICAL COLLEGE,,,,2018
7293,CHESTER COUNTY TECHNICAL COLLEGE,17.2,25,17.6,2018
8415,COATESVILLE AREA SD CYBER ACADEM,21.9,27.3,13.3,2018
