school_number,number_of_students,number_of_low_income_students,year
8425,281,171,2018
511,395,133,2018
513,565,153,2018
7595,427,120,2018
6695,465,145,2018
0,371,251,2018
7058,439,50,2018
7057,701,141,2018
6504,31,6,2018
7162,493,218,2018
5261,"1,549",540,2018
3865,509,183,2018
3864,501,223,2018
7408,552,227,2018
7625,491,221,2018
3866,407,143,2018
4351,472,216,2018
4352,595,238,2018
6927,894,468,2018
7731,460,111,2018
4801,"1,229",217,2018
7186,508,112,2018
6678,815,172,2018
1749,467,120,2018
7775,624,426,2018
2539,945,381,2018
8228,951,432,2018
7165,459,190,2018
7786,671,290,2018
8229,481,231,2018
4558,"1,010",373,2018
6283,563,253,2018
4557,494,263,2018
7555,476,230,2018
4556,492,233,2018
1391,447,77,2018
7266,594,91,2018
1431,532,36,2018
7759,"1,749",204,2018
1387,"1,646",227,2018
7517,"1,123",118,2018
8174,819,26,2018
5011,543,103,2018
6476,649,87,2018
7516,"1,071",112,2018
8309,"1,054",103,2018
1432,456,15,2018
7265,603,23,2018
7990,566,46,2018
6621,475,37,2018
6477,611,48,2018
7550,200,180,2018
2385,313,203,2018
1541,"1,136",677,2018
6156,"1,009",509,2018
6157,350,177,2018
1532,293,142,2018
6918,364,237,2018
6591,777,360,2018
8312,693,278,2018
7908,359,267,2018
8340,741,432,2018
8339,805,538,2018
3021,246,123,2018
3018,161,66,2018
6364,745,271,2018
3019,539,224,2018
2799,343,99,2018
2809,"2,784",703,2018
7560,887,194,2018
2808,288,113,2018
2802,379,153,2018
7559,"1,178",419,2018
2804,506,132,2018
5239,681,151,2018
4827,504,140,2018
8133,692,136,2018
5220,829,278,2018
1707,779,185,2018
1705,549,200,2018
4850,463,159,2018
7536,379,197,2018
8016,653,265,2018
7641,976,485,2018
6935,"1,323",559,2018
3204,458,297,2018
7366,920,491,2018
7642,683,413,2018
3201,493,301,2018
7411,518,225,2018
3202,355,183,2018
4822,522,178,2018
2552,549,262,2018
2500,494,211,2018
7209,481,206,2018
2554,"1,011",365,2018
4707,562,262,2018
8137,572,201,2018
6612,604,206,2018
2740,703,189,2018
6611,307,112,2018
2735,248,60,2018
8127,274,246,2018
6174,540,260,2018
4559,389,189,2018
4564,691,294,2018
7439,590,278,2018
6285,373,160,2018
4563,363,175,2018
4915,526,357,2018
3482,"2,810","1,343",2018
8351,"2,159","1,069",2018
3477,425,134,2018
3478,311,146,2018
3473,591,255,2018
5350,578,443,2018
8058,648,176,2018
5064,536,185,2018
8391,420,273,2018
136,301,61,2018
4804,569,202,2018
144,704,239,2018
8115,202,87,2018
142,193,81,2018
139,349,155,2018
2555,201,49,2018
8190,973,350,2018
2561,412,148,2018
6862,631,191,2018
2562,"1,243",334,2018
2558,193,67,2018
2559,232,56,2018
6417,632,355,2018
6418,518,268,2018
8166,263,127,2018
2675,735,315,2018
8167,391,228,2018
8165,260,133,2018
8028,674,205,2018
2564,282,140,2018
2568,481,173,2018
6712,"1,350",612,2018
6293,"1,268",525,2018
2563,376,216,2018
2570,417,208,2018
2003,443,412,2018
8419,700,626,2018
2004,520,474,2018
8417,"2,272","1,724",2018
2001,629,448,2018
2009,621,507,2018
2011,514,416,2018
2021,598,423,2018
2013,394,295,2018
2016,531,489,2018
7515,874,324,2018
2018,468,377,2018
7035,650,612,2018
8420,800,583,2018
2025,759,592,2018
5045,707,394,2018
8163,434,434,2018
7665,"1,566","1,338",2018
8216,332,328,2018
7564,504,349,2018
735,89,52,2018
7006,483,283,2018
7897,432,274,2018
7898,253,155,2018
7866,102,0,2018
8325,"1,307",853,2018
787,598,192,2018
788,"1,306",322,2018
6731,381,171,2018
786,437,147,2018
783,562,141,2018
7755,578,190,2018
6270,322,66,2018
6269,342,57,2018
7322,285,57,2018
7466,635,156,2018
6737,547,116,2018
2032,568,118,2018
6826,177,79,2018
7508,113,50,2018
2201,165,60,2018
7119,340,340,2018
5248,293,291,2018
4842,612,390,2018
7746,159,103,2018
1225,285,207,2018
1223,375,268,2018
7744,"1,859","1,231",2018
791,203,80,2018
6311,762,244,2018
5023,844,238,2018
860,130,37,2018
8057,501,170,2018
7857,511,295,2018
5016,702,277,2018
6840,212,91,2018
2246,156,57,2018
6160,73,46,2018
6159,87,50,2018
6701,137,69,2018
6161,110,59,2018
6420,441,263,2018
6419,349,190,2018
6899,"1,000",493,2018
8382,812,389,2018
7187,487,220,2018
4242,502,213,2018
5328,504,253,2018
2037,671,334,2018
5226,134,65,2018
2036,419,151,2018
2035,379,216,2018
147,899,199,2018
149,365,19,2018
156,"1,330",294,2018
6780,364,77,2018
153,381,177,2018
461,677,101,2018
4667,444,323,2018
4106,843,442,2018
4101,364,182,2018
6166,247,137,2018
5119,450,161,2018
7602,826,115,2018
4360,"1,135",156,2018
7163,624,113,2018
4354,244,43,2018
4357,614,50,2018
7666,"1,222",780,2018
8123,948,515,2018
6686,555,272,2018
2126,376,143,2018
7176,230,107,2018
8150,729,695,2018
8357,448,232,2018
8356,429,205,2018
6563,434,164,2018
591,570,121,2018
8346,441,118,2018
594,575,157,2018
592,273,119,2018
7586,995,774,2018
7192,151,46,2018
6223,354,207,2018
7714,475,29,2018
6506,735,70,2018
7486,752,76,2018
1869,"1,623",129,2018
7313,"1,165",88,2018
161,329,222,2018
157,245,116,2018
167,510,271,2018
170,"1,068",502,2018
169,523,314,2018
5191,334,148,2018
165,333,133,2018
2038,408,168,2018
2040,698,247,2018
5225,669,269,2018
2039,335,133,2018
8176,390,189,2018
6271,"1,108",408,2018
10,739,365,2018
5126,425,241,2018
7592,427,219,2018
8147,223,69,2018
8161,244,165,2018
2042,630,369,2018
2043,499,266,2018
6777,505,290,2018
6952,382,196,2018
5219,379,194,2018
7639,708,708,2018
8390,630,628,2018
793,530,190,2018
794,429,230,2018
801,708,331,2018
802,"1,401",575,2018
6794,655,320,2018
8096,491,237,2018
1368,366,32,2018
7695,552,80,2018
1424,"1,319",198,2018
1422,"1,030",161,2018
6479,547,108,2018
1461,466,86,2018
6193,963,574,2018
5288,383,242,2018
8405,"1,234","1,095",2018
1252,646,614,2018
1251,"1,001",814,2018
8314,59,51,2018
4379,543,218,2018
6957,577,187,2018
4845,"1,270",388,2018
4386,678,380,2018
4380,621,125,2018
7768,517,353,2018
8430,531,355,2018
5242,728,456,2018
8429,504,285,2018
7748,662,59,2018
2202,705,260,2018
5117,766,255,2018
7427,653,229,2018
2206,922,269,2018
5282,327,217,2018
7329,597,261,2018
4373,808,318,2018
4372,629,317,2018
5166,319,247,2018
5165,338,136,2018
8428,628,380,2018
3137,637,283,2018
7062,328,110,2018
6341,234,76,2018
7468,184,65,2018
8409,7,7,2018
6125,257,257,2018
7316,59,59,2018
3145,634,198,2018
8202,452,171,2018
3143,256,91,2018
6844,563,211,2018
8154,167,122,2018
1753,160,81,2018
5038,297,118,2018
6330,266,87,2018
6331,229,70,2018
808,698,295,2018
7447,520,234,2018
809,370,149,2018
7992,532,282,2018
175,471,61,2018
5190,991,125,2018
179,643,82,2018
178,316,30,2018
176,377,61,2018
2891,936,519,2018
7007,441,283,2018
8199,291,199,2018
2888,325,214,2018
4565,267,156,2018
4570,640,391,2018
4571,481,244,2018
4566,302,226,2018
4568,246,117,2018
7511,525,253,2018
2047,279,122,2018
2048,322,125,2018
7948,699,230,2018
2046,331,126,2018
5227,479,215,2018
7195,122,57,2018
8316,130,45,2018
8268,781,704,2018
8264,708,671,2018
8376,205,177,2018
8265,377,361,2018
1766,519,500,2018
6333,"1,024",866,2018
7902,357,255,2018
8266,149,134,2018
7901,351,294,2018
8267,603,546,2018
7623,778,678,2018
7667,531,480,2018
5079,461,207,2018
3271,647,209,2018
3272,"1,553",425,2018
6639,"1,085",318,2018
3267,271,102,2018
3270,722,113,2018
1871,604,50,2018
1876,632,56,2018
1877,528,52,2018
1878,"1,550",183,2018
1879,"1,813",254,2018
1874,587,60,2018
1875,710,110,2018
5151,667,437,2018
7937,409,202,2018
7661,728,208,2018
6718,872,446,2018
8333,477,254,2018
7348,"3,433","1,911",2018
7936,802,590,2018
6930,"1,126",780,2018
8334,926,700,2018
8245,750,444,2018
7340,893,291,2018
7569,990,670,2018
5236,501,116,2018
5055,599,200,2018
2574,471,207,2018
2577,545,216,2018
2578,"2,193",689,2018
6294,478,142,2018
7421,502,165,2018
7442,582,175,2018
2576,614,248,2018
2575,455,182,2018
4389,493,191,2018
7268,408,130,2018
4404,"1,842",526,2018
4394,419,82,2018
5359,586,244,2018
7269,473,103,2018
4399,506,197,2018
7270,405,148,2018
4400,426,116,2018
3146,603,291,2018
8069,342,139,2018
3150,817,253,2018
3147,331,141,2018
182,243,150,2018
191,709,402,2018
7202,785,520,2018
5153,770,491,2018
8308,169,132,2018
7097,498,253,2018
7381,563,190,2018
6195,652,264,2018
927,816,283,2018
5207,840,279,2018
6797,435,216,2018
2331,412,184,2018
672,393,88,2018
674,634,213,2018
675,606,184,2018
671,236,56,2018
7280,210,65,2018
8209,275,60,2018
5333,427,200,2018
2305,571,252,2018
7525,340,147,2018
7620,486,275,2018
6606,294,157,2018
8155,380,203,2018
7542,597,570,2018
7683,818,416,2018
8361,527,378,2018
2314,467,232,2018
4964,401,161,2018
2321,213,85,2018
2322,211,85,2018
2324,664,279,2018
2325,869,341,2018
7032,445,232,2018
7765,232,41,2018
8371,584,273,2018
7557,236,174,2018
8394,"1,626","1,098",2018
1881,619,386,2018
1885,"1,086",573,2018
7643,241,141,2018
1883,539,280,2018
6508,549,294,2018
4847,319,211,2018
0,268,162,2018
2052,668,503,2018
4817,588,419,2018
6127,206,116,2018
6126,237,90,2018
8421,452,262,2018
8024,559,334,2018
5180,342,211,2018
7029,409,195,2018
2280,320,153,2018
3276,387,58,2018
8049,329,51,2018
3031,192,97,2018
5243,634,336,2018
3034,722,291,2018
3033,597,287,2018
5060,170,76,2018
1307,606,296,2018
6965,736,352,2018
7785,678,387,2018
8149,908,628,2018
5326,306,160,2018
6218,274,112,2018
2394,497,209,2018
2390,213,112,2018
4947,278,147,2018
6255,579,259,2018
2399,87,53,2018
2391,167,87,2018
2395,260,136,2018
2393,115,52,2018
7220,415,220,2018
2400,109,53,2018
5230,315,158,2018
2308,416,178,2018
8358,519,445,2018
8431,200,174,2018
7776,859,755,2018
8363,300,264,2018
8124,364,311,2018
5244,458,269,2018
5245,368,166,2018
3100,270,138,2018
1153,457,218,2018
1154,648,308,2018
7396,245,133,2018
8172,450,237,2018
1401,581,288,2018
6482,"1,345",560,2018
6834,"1,012",424,2018
8171,275,116,2018
1400,482,190,2018
6694,449,222,2018
1486,485,227,2018
7979,688,516,2018
7067,253,114,2018
7795,94,68,2018
6241,136,94,2018
7589,"1,095",471,2018
7590,821,412,2018
4815,248,184,2018
4917,225,108,2018
1570,377,166,2018
6242,181,136,2018
6245,381,273,2018
1588,285,126,2018
7506,202,155,2018
7461,342,108,2018
203,221,32,2018
5112,583,174,2018
7462,439,143,2018
204,308,130,2018
7826,386,364,2018
7191,466,355,2018
4431,"1,129",450,2018
7189,562,254,2018
7190,554,211,2018
4516,302,124,2018
8277,580,307,2018
810,222,80,2018
6315,308,103,2018
816,451,146,2018
6316,357,119,2018
7538,221,214,2018
7565,567,316,2018
4524,526,215,2018
4528,442,193,2018
2924,868,206,2018
7060,289,109,2018
2922,392,72,2018
2920,203,78,2018
7146,308,162,2018
6403,437,135,2018
6404,704,247,2018
3155,353,135,2018
7069,219,102,2018
3154,379,183,2018
2606,653,166,2018
7939,665,153,2018
2607,"1,006",208,2018
6297,720,167,2018
5285,384,183,2018
5283,407,186,2018
5284,494,254,2018
2598,357,323,2018
7182,393,383,2018
2599,719,587,2018
2581,422,397,2018
2589,551,531,2018
2592,446,407,2018
2593,541,529,2018
2597,365,299,2018
5056,474,461,2018
2584,525,496,2018
2595,468,431,2018
2596,"2,718","2,423",2018
7922,328,317,2018
6762,504,477,2018
2594,511,458,2018
2587,316,292,2018
2590,350,280,2018
2600,582,517,2018
2591,433,398,2018
0,773,375,2018
2146,305,184,2018
2163,356,117,2018
4700,367,190,2018
5146,734,334,2018
6600,885,447,2018
4820,276,127,2018
7001,541,161,2018
2680,352,100,2018
8432,171,47,2018
4940,367,197,2018
5156,633,130,2018
6616,646,519,2018
5337,385,271,2018
2754,"1,097",774,2018
5155,"1,390",902,2018
6894,688,562,2018
2746,501,386,2018
2743,537,412,2018
6579,333,318,2018
7923,239,99,2018
8393,166,81,2018
5338,"2,267","1,422",2018
7681,"1,744",788,2018
7634,631,195,2018
8130,453,395,2018
8439,"1,026",507,2018
1315,702,337,2018
1314,582,291,2018
4807,489,226,2018
4665,464,135,2018
4084,602,169,2018
4085,621,122,2018
4081,300,97,2018
6940,261,140,2018
4442,514,158,2018
4440,349,147,2018
5361,404,134,2018
7675,664,664,2018
0,"1,541",990,2018
8125,778,695,2018
7859,785,189,2018
8206,740,630,2018
6786,371,178,2018
3532,361,121,2018
8286,365,163,2018
8406,816,331,2018
14,605,191,2018
13,476,174,2018
1747,219,62,2018
1752,377,99,2018
1775,259,116,2018
1776,"1,122",263,2018
7414,903,228,2018
1774,349,94,2018
7844,14,11,2018
1797,413,81,2018
3293,"1,059",105,2018
7597,496,61,2018
3286,558,32,2018
3291,722,48,2018
3296,"1,210",132,2018
3295,"1,512",181,2018
3287,576,46,2018
3288,682,84,2018
3289,761,56,2018
3294,"1,069",111,2018
4960,751,144,2018
7212,609,107,2018
3297,952,123,2018
3036,700,308,2018
3037,341,134,2018
4828,503,181,2018
7149,64,64,2018
0,472,271,2018
7291,300,155,2018
7574,"1,413",587,2018
8360,602,357,2018
7223,549,387,2018
8403,449,311,2018
7549,371,298,2018
7954,406,170,2018
8422,690,221,2018
7953,936,300,2018
2618,982,291,2018
2619,286,124,2018
6733,380,131,2018
8246,949,282,2018
2623,"1,753",519,2018
5114,904,280,2018
2621,337,81,2018
4708,479,121,2018
7383,371,81,2018
2620,315,113,2018
7672,"1,195","1,195",2018
2339,610,277,2018
8066,308,146,2018
8138,393,202,2018
7777,819,528,2018
1898,429,54,2018
1899,375,87,2018
1902,"1,089",265,2018
1901,755,153,2018
1894,354,59,2018
1896,370,54,2018
7929,522,50,2018
1155,722,67,2018
5363,533,17,2018
1158,495,29,2018
